task_ID,Gate_number,Floor_No,shift_no
T-001,72,2,2
T-001,72,2,3
T-001,72,2,4
T-001,73,2,1
T-001,73,2,2
T-001,73,2,3
T-001,73,2,4
T-001,74,2,1
T-001,74,2,2
T-001,74,2,3
T-001,74,2,4
T-001,75,2,1
T-001,75,2,2
T-001,75,2,3
T-001,75,2,4
T-001,76,2,1
T-001,76,2,2
T-001,76,2,3
T-001,76,2,4
T-001,78,2,1
T-001,78,2,2
T-001,78,2,3
T-001,78,2,4
T-001,63,3,1
T-001,63,3,2
T-001,63,3,3
T-001,63,3,4
T-001,65,3,1
T-001,65,3,2
T-001,65,3,3
T-001,65,3,4
T-001,66,3,1
T-001,66,3,2
T-001,66,3,3
T-001,66,3,4
T-001,67,3,1
T-001,67,3,2
T-001,67,3,3
T-001,67,3,4
T-001,68,3,1
T-001,68,3,2
T-001,68,3,3
T-001,68,3,4
T-001,69,3,1
T-001,69,3,2
T-001,69,3,3
T-001,69,3,4
T-001,70,3,1
T-001,70,3,2
T-001,70,3,3
T-001,70,3,4
T-001,71,3,1
T-001,71,3,2
T-001,71,3,3
T-001,71,3,4
T-001,72,3,1
T-001,72,3,2
T-001,72,3,3
T-001,72,3,4
T-001,75,3,1
T-001,75,3,2
T-001,75,3,3
T-001,75,3,4
T-001,76,3,1
T-001,76,3,2
T-001,76,3,3
T-001,76,3,4
T-001,77,3,1
T-001,77,3,2
T-001,77,3,3
T-001,77,3,4
T-001,65,4,1
T-001,65,4,2
T-001,65,4,3
T-001,65,4,4
T-001,68,4,1
T-001,68,4,2
T-001,68,4,3
T-001,68,4,4
T-001,69,4,1
T-001,69,4,2
T-001,69,4,3
T-001,69,4,4
T-001,72,4,1
T-001,72,4,2
T-001,72,4,3
T-001,72,4,4
T-001,73,4,1
T-001,73,4,2
T-001,73,4,3
T-001,73,4,4
T-001,74,4,1
T-001,74,4,2
T-001,74,4,3
T-001,74,4,4
T-001,75,4,1
T-001,75,4,2
T-001,75,4,3
T-001,75,4,4
T-001,76,4,1
T-001,76,4,2
T-001,76,4,3
T-001,76,4,4
T-001,78,4,1
T-001,78,4,2
T-001,78,4,3
T-001,78,4,4
T-001,65,5,1
T-001,65,5,2
T-001,65,5,3
T-001,65,5,4
T-001,66,5,1
T-001,66,5,2
T-001,66,5,3
T-001,66,5,4
T-001,71,5,1
T-001,71,5,2
T-001,71,5,3
T-001,71,5,4
T-001,74,5,1
T-001,74,5,2
T-001,74,5,3
T-001,74,5,4
T-001,77,5,1
T-001,77,5,2
T-001,77,5,3
T-001,77,5,4
T-001,78,5,1
T-001,78,5,2
T-001,78,5,3
T-001,78,5,4
T-002,0,0,1
T-002,0,0,2
T-002,0,0,3
T-002,0,0,4
T-002,1,0,1
T-002,1,0,2
T-002,1,0,3
T-002,1,0,4
T-002,2,0,1
T-002,2,0,2
T-002,2,0,3
T-002,2,0,4
T-002,3,0,1
T-002,3,0,2
T-002,3,0,3
T-002,3,0,4
T-002,4,0,1
T-002,4,0,2
T-002,4,0,3
T-002,4,0,4
T-002,5,0,1
T-002,5,0,2
T-002,5,0,3
T-002,5,0,4
T-002,6,0,1
T-002,6,0,2
T-002,6,0,3
T-002,6,0,4
T-002,7,0,1
T-002,7,0,2
T-002,7,0,3
T-002,7,0,4
T-002,8,0,1
T-002,8,0,2
T-002,8,0,3
T-002,8,0,4
T-002,9,0,1
T-002,9,0,2
T-002,9,0,3
T-002,9,0,4
T-002,10,0,1
T-002,10,0,2
T-002,10,0,3
T-002,10,0,4
T-002,11,0,1
T-002,11,0,2
T-002,11,0,3
T-002,11,0,4
T-002,12,0,1
T-002,12,0,2
T-002,12,0,3
T-002,12,0,4
T-002,13,0,1
T-002,13,0,2
T-002,13,0,3
T-002,13,0,4
T-002,14,0,1
T-002,14,0,2
T-002,14,0,3
T-002,14,0,4
T-002,15,0,1
T-002,15,0,2
T-002,15,0,3
T-002,15,0,4
T-002,16,0,1
T-002,16,0,2
T-002,16,0,3
T-002,16,0,4
T-002,17,0,1
T-002,17,0,2
T-002,17,0,3
T-002,17,0,4
T-002,18,0,1
T-002,18,0,2
T-002,18,0,3
T-002,18,0,4
T-002,19,0,1
T-002,19,0,2
T-002,19,0,3
T-002,19,0,4
T-002,20,0,1
T-002,20,0,2
T-002,20,0,3
T-002,20,0,4
T-002,21,0,1
T-002,21,0,2
T-002,21,0,3
T-002,21,0,4
T-002,22,0,1
T-002,22,0,2
T-002,22,0,3
T-002,22,0,4
T-002,23,0,1
T-002,23,0,2
T-002,23,0,3
T-002,23,0,4
T-002,24,0,1
T-002,24,0,2
T-002,24,0,3
T-002,24,0,4
T-002,25,0,1
T-002,25,0,2
T-002,25,0,3
T-002,25,0,4
T-002,26,0,1
T-002,26,0,2
T-002,26,0,3
T-002,26,0,4
T-002,27,1,1
T-002,27,1,2
T-002,27,1,3
T-002,27,1,4
T-002,28,1,1
T-002,28,1,2
T-002,28,1,3
T-002,28,1,4
T-002,29,1,1
T-002,29,1,2
T-002,29,1,3
T-002,29,1,4
T-002,30,1,1
T-002,30,1,2
T-002,30,1,3
T-002,30,1,4
T-002,31,1,1
T-002,31,1,2
T-002,31,1,3
T-002,31,1,4
T-002,32,1,1
T-002,32,1,2
T-002,32,1,3
T-002,32,1,4
T-002,33,1,1
T-002,33,1,2
T-002,33,1,3
T-002,33,1,4
T-002,34,1,1
T-002,34,1,2
T-002,34,1,3
T-002,34,1,4
T-002,35,1,1
T-002,35,1,2
T-002,35,1,3
T-002,35,1,4
T-002,36,1,1
T-002,36,1,2
T-002,36,1,3
T-002,36,1,4
T-002,37,1,1
T-002,37,1,2
T-002,37,1,3
T-002,37,1,4
T-002,38,1,1
T-002,38,1,2
T-002,38,1,3
T-002,38,1,4
T-002,39,1,1
T-002,39,1,2
T-002,39,1,3
T-002,39,1,4
T-002,40,1,1
T-002,40,1,2
T-002,40,1,3
T-002,40,1,4
T-002,41,1,1
T-002,41,1,2
T-002,41,1,3
T-002,41,1,4
T-002,42,1,1
T-002,42,1,2
T-002,42,1,3
T-002,42,1,4
T-002,43,1,1
T-002,43,1,2
T-002,43,1,3
T-002,43,1,4
T-002,44,1,1
T-002,44,1,2
T-002,44,1,3
T-002,44,1,4
T-002,45,1,1
T-002,45,1,2
T-002,45,1,3
T-002,45,1,4
T-002,46,1,1
T-002,46,1,2
T-002,46,1,3
T-002,46,1,4
T-002,47,1,1
T-002,47,1,2
T-002,47,1,3
T-002,47,1,4
T-002,48,1,1
T-002,48,1,2
T-002,48,1,3
T-002,48,1,4
T-002,49,1,1
T-002,49,1,2
T-002,49,1,3
T-002,49,1,4
T-002,50,1,1
T-002,50,1,2
T-002,50,1,3
T-002,50,1,4
T-002,51,1,1
T-002,51,1,2
T-002,51,1,3
T-002,51,1,4
T-002,52,1,1
T-002,52,1,2
T-002,52,1,3
T-002,52,1,4
T-002,53,1,1
T-002,53,1,2
T-002,53,1,3
T-002,53,1,4
T-002,54,1,1
T-002,54,1,2
T-002,54,1,3
T-002,54,1,4
T-002,55,1,1
T-002,55,1,2
T-002,55,1,3
T-002,55,1,4
T-002,56,1,1
T-002,56,1,2
T-002,56,1,3
T-002,56,1,4
T-002,57,1,1
T-002,57,1,2
T-002,57,1,3
T-002,57,1,4
T-002,58,1,1
T-002,58,1,2
T-002,58,1,3
T-002,58,1,4
T-002,59,1,1
T-002,59,1,2
T-002,59,1,3
T-002,59,1,4
T-002,60,1,1
T-002,60,1,2
T-002,60,1,3
T-002,60,1,4
T-002,61,1,1
T-002,61,1,2
T-002,61,1,3
T-002,61,1,4
T-002,62,1,1
T-002,62,1,2
T-002,62,1,3
T-002,62,1,4
T-002,63,2,1
T-002,63,2,2
T-002,63,2,3
T-002,63,2,4
T-002,64,2,1
T-002,64,2,2
T-002,64,2,3
T-002,64,2,4
T-002,65,2,1
T-002,65,2,2
T-002,65,2,3
T-002,65,2,4
T-002,66,2,1
T-002,66,2,2
T-002,66,2,3
T-002,66,2,4
T-002,67,2,1
T-002,67,2,2
T-002,67,2,3
T-002,67,2,4
T-002,69,2,1
T-002,69,2,2
T-002,69,2,3
T-002,69,2,4
T-002,70,2,1
T-002,70,2,2
T-002,70,2,3
T-002,70,2,4
T-002,71,2,1
T-002,71,2,2
T-002,71,2,3
T-002,71,2,4
T-002,72,2,1
T-002,72,2,2
T-002,72,2,3
T-002,72,2,4
T-002,73,2,1
T-002,73,2,2
T-002,73,2,3
T-002,73,2,4
T-002,74,2,1
T-002,74,2,2
T-002,74,2,3
T-002,74,2,4
T-002,75,2,1
T-002,75,2,2
T-002,75,2,3
T-002,75,2,4
T-002,76,2,1
T-002,76,2,2
T-002,76,2,3
T-002,76,2,4
T-002,78,2,1
T-002,78,2,2
T-002,78,2,3
T-002,78,2,4
T-002,63,3,1
T-002,63,3,2
T-002,63,3,3
T-002,63,3,4
T-002,65,3,1
T-002,65,3,2
T-002,65,3,3
T-002,65,3,4
T-002,66,3,1
T-002,66,3,2
T-002,66,3,3
T-002,66,3,4
T-002,67,3,1
T-002,67,3,2
T-002,67,3,3
T-002,67,3,4
T-002,68,3,1
T-002,68,3,2
T-002,68,3,3
T-002,68,3,4
T-002,69,3,1
T-002,69,3,2
T-002,69,3,3
T-002,69,3,4
T-002,70,3,1
T-002,70,3,2
T-002,70,3,3
T-002,70,3,4
T-002,71,3,1
T-002,71,3,2
T-002,71,3,3
T-002,71,3,4
T-002,72,3,1
T-002,72,3,2
T-002,72,3,3
T-002,72,3,4
T-002,75,3,1
T-002,75,3,2
T-002,75,3,3
T-002,75,3,4
T-002,76,3,1
T-002,76,3,2
T-002,76,3,3
T-002,76,3,4
T-002,77,3,1
T-002,77,3,2
T-002,77,3,3
T-002,77,3,4
T-002,65,4,1
T-002,65,4,2
T-002,65,4,3
T-002,65,4,4
T-002,68,4,1
T-002,68,4,2
T-002,68,4,3
T-002,68,4,4
T-002,69,4,1
T-002,69,4,2
T-002,69,4,3
T-002,69,4,4
T-002,72,4,1
T-002,72,4,2
T-002,72,4,3
T-002,72,4,4
T-002,73,4,1
T-002,73,4,2
T-002,73,4,3
T-002,73,4,4
T-002,74,4,1
T-002,74,4,2
T-002,74,4,3
T-002,74,4,4
T-002,75,4,1
T-002,75,4,2
T-002,75,4,3
T-002,75,4,4
T-002,76,4,1
T-002,76,4,2
T-002,76,4,3
T-002,76,4,4
T-002,78,4,1
T-002,78,4,2
T-002,78,4,3
T-002,78,4,4
T-002,65,5,1
T-002,65,5,2
T-002,65,5,3
T-002,65,5,4
T-002,66,5,1
T-002,66,5,2
T-002,66,5,3
T-002,66,5,4
T-002,71,5,1
T-002,71,5,2
T-002,71,5,3
T-002,71,5,4
T-002,74,5,1
T-002,74,5,2
T-002,74,5,3
T-002,74,5,4
T-002,77,5,1
T-002,77,5,2
T-002,77,5,3
T-002,77,5,4
T-002,78,5,1
T-002,78,5,2
T-002,78,5,3
T-002,78,5,4
T-003,0,0,1
T-003,0,0,2
T-003,0,0,3
T-003,0,0,4
T-003,1,0,1
T-003,1,0,2
T-003,1,0,3
T-003,1,0,4
T-003,2,0,1
T-003,2,0,2
T-003,2,0,3
T-003,2,0,4
T-003,3,0,1
T-003,3,0,2
T-003,3,0,3
T-003,3,0,4
T-003,4,0,1
T-003,4,0,2
T-003,4,0,3
T-003,4,0,4
T-003,5,0,1
T-003,5,0,2
T-003,5,0,3
T-003,5,0,4
T-003,6,0,1
T-003,6,0,2
T-003,6,0,3
T-003,6,0,4
T-003,7,0,1
T-003,7,0,2
T-003,7,0,3
T-003,7,0,4
T-003,8,0,1
T-003,8,0,2
T-003,8,0,3
T-003,8,0,4
T-003,9,0,1
T-003,9,0,2
T-003,9,0,3
T-003,9,0,4
T-003,10,0,1
T-003,10,0,2
T-003,10,0,3
T-003,10,0,4
T-003,11,0,1
T-003,11,0,2
T-003,11,0,3
T-003,11,0,4
T-003,12,0,1
T-003,12,0,2
T-003,12,0,3
T-003,12,0,4
T-003,13,0,1
T-003,13,0,2
T-003,13,0,3
T-003,13,0,4
T-003,14,0,1
T-003,14,0,2
T-003,14,0,3
T-003,14,0,4
T-003,15,0,1
T-003,15,0,2
T-003,15,0,3
T-003,15,0,4
T-003,16,0,1
T-003,16,0,2
T-003,16,0,3
T-003,16,0,4
T-003,17,0,1
T-003,17,0,2
T-003,17,0,3
T-003,17,0,4
T-003,18,0,1
T-003,18,0,2
T-003,18,0,3
T-003,18,0,4
T-003,19,0,1
T-003,19,0,2
T-003,19,0,3
T-003,19,0,4
T-003,20,0,1
T-003,20,0,2
T-003,20,0,3
T-003,20,0,4
T-003,21,0,1
T-003,21,0,2
T-003,21,0,3
T-003,21,0,4
T-003,22,0,1
T-003,22,0,2
T-003,22,0,3
T-003,22,0,4
T-003,23,0,1
T-003,23,0,2
T-003,23,0,3
T-003,23,0,4
T-003,24,0,1
T-003,24,0,2
T-003,24,0,3
T-003,24,0,4
T-003,25,0,1
T-003,25,0,2
T-003,25,0,3
T-003,25,0,4
T-003,26,0,1
T-003,26,0,2
T-003,26,0,3
T-003,26,0,4
T-003,27,1,1
T-003,27,1,2
T-003,27,1,3
T-003,27,1,4
T-003,28,1,1
T-003,28,1,2
T-003,28,1,3
T-003,28,1,4
T-003,29,1,1
T-003,29,1,2
T-003,29,1,3
T-003,29,1,4
T-003,30,1,1
T-003,30,1,2
T-003,30,1,3
T-003,30,1,4
T-003,31,1,1
T-003,31,1,2
T-003,31,1,3
T-003,31,1,4
T-003,32,1,1
T-003,32,1,2
T-003,32,1,3
T-003,32,1,4
T-003,33,1,1
T-003,33,1,2
T-003,33,1,3
T-003,33,1,4
T-003,34,1,1
T-003,34,1,2
T-003,34,1,3
T-003,34,1,4
T-003,35,1,1
T-003,35,1,2
T-003,35,1,3
T-003,35,1,4
T-003,36,1,1
T-003,36,1,2
T-003,36,1,3
T-003,36,1,4
T-003,37,1,1
T-003,37,1,2
T-003,37,1,3
T-003,37,1,4
T-003,38,1,1
T-003,38,1,2
T-003,38,1,3
T-003,38,1,4
T-003,39,1,1
T-003,39,1,2
T-003,39,1,3
T-003,39,1,4
T-003,40,1,1
T-003,40,1,2
T-003,40,1,3
T-003,40,1,4
T-003,41,1,1
T-003,41,1,2
T-003,41,1,3
T-003,41,1,4
T-003,42,1,1
T-003,42,1,2
T-003,42,1,3
T-003,42,1,4
T-003,43,1,1
T-003,43,1,2
T-003,43,1,3
T-003,43,1,4
T-003,44,1,1
T-003,44,1,2
T-003,44,1,3
T-003,44,1,4
T-003,45,1,1
T-003,45,1,2
T-003,45,1,3
T-003,45,1,4
T-003,46,1,1
T-003,46,1,2
T-003,46,1,3
T-003,46,1,4
T-003,47,1,1
T-003,47,1,2
T-003,47,1,3
T-003,47,1,4
T-003,48,1,1
T-003,48,1,2
T-003,48,1,3
T-003,48,1,4
T-003,49,1,1
T-003,49,1,2
T-003,49,1,3
T-003,49,1,4
T-003,50,1,1
T-003,50,1,2
T-003,50,1,3
T-003,50,1,4
T-003,51,1,1
T-003,51,1,2
T-003,51,1,3
T-003,51,1,4
T-003,52,1,1
T-003,52,1,2
T-003,52,1,3
T-003,52,1,4
T-003,53,1,1
T-003,53,1,2
T-003,53,1,3
T-003,53,1,4
T-003,54,1,1
T-003,54,1,2
T-003,54,1,3
T-003,54,1,4
T-003,55,1,1
T-003,55,1,2
T-003,55,1,3
T-003,55,1,4
T-003,56,1,1
T-003,56,1,2
T-003,56,1,3
T-003,56,1,4
T-003,57,1,1
T-003,57,1,2
T-003,57,1,3
T-003,57,1,4
T-003,58,1,1
T-003,58,1,2
T-003,58,1,3
T-003,58,1,4
T-003,59,1,1
T-003,59,1,2
T-003,59,1,3
T-003,59,1,4
T-003,60,1,1
T-003,60,1,2
T-003,60,1,3
T-003,60,1,4
T-003,61,1,1
T-003,61,1,2
T-003,61,1,3
T-003,61,1,4
T-003,62,1,1
T-003,62,1,2
T-003,62,1,3
T-003,62,1,4
T-003,63,2,1
T-003,63,2,2
T-003,63,2,3
T-003,63,2,4
T-003,64,2,1
T-003,64,2,2
T-003,64,2,3
T-003,64,2,4
T-003,65,2,1
T-003,65,2,2
T-003,65,2,3
T-003,65,2,4
T-003,66,2,1
T-003,66,2,2
T-003,66,2,3
T-003,66,2,4
T-003,67,2,1
T-003,67,2,2
T-003,67,2,3
T-003,67,2,4
T-003,69,2,1
T-003,69,2,2
T-003,69,2,3
T-003,69,2,4
T-003,70,2,1
T-003,70,2,2
T-003,70,2,3
T-003,70,2,4
T-003,71,2,1
T-003,71,2,2
T-003,71,2,3
T-003,71,2,4
T-003,72,2,1
T-003,72,2,2
T-003,72,2,3
T-003,72,2,4
T-003,73,2,1
T-003,73,2,2
T-003,73,2,3
T-003,73,2,4
T-003,74,2,1
T-003,74,2,2
T-003,74,2,3
T-003,74,2,4
T-003,75,2,1
T-003,75,2,2
T-003,75,2,3
T-003,75,2,4
T-003,76,2,1
T-003,76,2,2
T-003,76,2,3
T-003,76,2,4
T-003,78,2,1
T-003,78,2,2
T-003,78,2,3
T-003,78,2,4
T-003,63,3,1
T-003,63,3,2
T-003,63,3,3
T-003,63,3,4
T-003,65,3,1
T-003,65,3,2
T-003,65,3,3
T-003,65,3,4
T-003,66,3,1
T-003,66,3,2
T-003,66,3,3
T-003,66,3,4
T-003,67,3,1
T-003,67,3,2
T-003,67,3,3
T-003,67,3,4
T-003,68,3,1
T-003,68,3,2
T-003,68,3,3
T-003,68,3,4
T-003,69,3,1
T-003,69,3,2
T-003,69,3,3
T-003,69,3,4
T-003,70,3,1
T-003,70,3,2
T-003,70,3,3
T-003,70,3,4
T-003,71,3,1
T-003,71,3,2
T-003,71,3,3
T-003,71,3,4
T-003,72,3,1
T-003,72,3,2
T-003,72,3,3
T-003,72,3,4
T-003,75,3,1
T-003,75,3,2
T-003,75,3,3
T-003,75,3,4
T-003,76,3,1
T-003,76,3,2
T-003,76,3,3
T-003,76,3,4
T-003,77,3,1
T-003,77,3,2
T-003,77,3,3
T-003,77,3,4
T-003,65,4,1
T-003,65,4,2
T-003,65,4,3
T-003,65,4,4
T-003,68,4,1
T-003,68,4,2
T-003,68,4,3
T-003,68,4,4
T-003,69,4,1
T-003,69,4,2
T-003,69,4,3
T-003,69,4,4
T-003,72,4,1
T-003,72,4,2
T-003,72,4,3
T-003,72,4,4
T-003,73,4,1
T-003,73,4,2
T-003,73,4,3
T-003,73,4,4
T-003,74,4,1
T-003,74,4,2
T-003,74,4,3
T-003,74,4,4
T-003,75,4,1
T-003,75,4,2
T-003,75,4,3
T-003,75,4,4
T-003,76,4,1
T-003,76,4,2
T-003,76,4,3
T-003,76,4,4
T-003,78,4,1
T-003,78,4,2
T-003,78,4,3
T-003,78,4,4
T-003,65,5,1
T-003,65,5,2
T-003,65,5,3
T-003,65,5,4
T-003,66,5,1
T-003,66,5,2
T-003,66,5,3
T-003,66,5,4
T-003,71,5,1
T-003,71,5,2
T-003,71,5,3
T-003,71,5,4
T-003,74,5,1
T-003,74,5,2
T-003,74,5,3
T-003,74,5,4
T-003,77,5,1
T-003,77,5,2
T-003,77,5,3
T-003,77,5,4
T-003,78,5,1
T-003,78,5,2
T-003,78,5,3
T-003,78,5,4
T-004,0,0,1
T-004,0,0,2
T-004,0,0,3
T-004,0,0,4
T-004,1,0,1
T-004,1,0,2
T-004,1,0,3
T-004,1,0,4
T-004,2,0,1
T-004,2,0,2
T-004,2,0,3
T-004,2,0,4
T-004,3,0,1
T-004,3,0,2
T-004,3,0,3
T-004,3,0,4
T-004,4,0,1
T-004,4,0,2
T-004,4,0,3
T-004,4,0,4
T-004,5,0,1
T-004,5,0,2
T-004,5,0,3
T-004,5,0,4
T-004,6,0,1
T-004,6,0,2
T-004,6,0,3
T-004,6,0,4
T-004,7,0,1
T-004,7,0,2
T-004,7,0,3
T-004,7,0,4
T-004,8,0,1
T-004,8,0,2
T-004,8,0,3
T-004,8,0,4
T-004,9,0,1
T-004,9,0,2
T-004,9,0,3
T-004,9,0,4
T-004,10,0,1
T-004,10,0,2
T-004,10,0,3
T-004,10,0,4
T-004,11,0,1
T-004,11,0,2
T-004,11,0,3
T-004,11,0,4
T-004,12,0,1
T-004,12,0,2
T-004,12,0,3
T-004,12,0,4
T-004,13,0,1
T-004,13,0,2
T-004,13,0,3
T-004,13,0,4
T-004,14,0,1
T-004,14,0,2
T-004,14,0,3
T-004,14,0,4
T-004,15,0,1
T-004,15,0,2
T-004,15,0,3
T-004,15,0,4
T-004,16,0,1
T-004,16,0,2
T-004,16,0,3
T-004,16,0,4
T-004,17,0,1
T-004,17,0,2
T-004,17,0,3
T-004,17,0,4
T-004,18,0,1
T-004,18,0,2
T-004,18,0,3
T-004,18,0,4
T-004,19,0,1
T-004,19,0,2
T-004,19,0,3
T-004,19,0,4
T-004,20,0,1
T-004,20,0,2
T-004,20,0,3
T-004,20,0,4
T-004,21,0,1
T-004,21,0,2
T-004,21,0,3
T-004,21,0,4
T-004,22,0,1
T-004,22,0,2
T-004,22,0,3
T-004,22,0,4
T-004,23,0,1
T-004,23,0,2
T-004,23,0,3
T-004,23,0,4
T-004,24,0,1
T-004,24,0,2
T-004,24,0,3
T-004,24,0,4
T-004,25,0,1
T-004,25,0,2
T-004,25,0,3
T-004,25,0,4
T-004,26,0,1
T-004,26,0,2
T-004,26,0,3
T-004,26,0,4
T-004,27,1,1
T-004,27,1,2
T-004,27,1,3
T-004,27,1,4
T-004,28,1,1
T-004,28,1,2
T-004,28,1,3
T-004,28,1,4
T-004,29,1,1
T-004,29,1,2
T-004,29,1,3
T-004,29,1,4
T-004,30,1,1
T-004,30,1,2
T-004,30,1,3
T-004,30,1,4
T-004,31,1,1
T-004,31,1,2
T-004,31,1,3
T-004,31,1,4
T-004,32,1,1
T-004,32,1,2
T-004,32,1,3
T-004,32,1,4
T-004,33,1,1
T-004,33,1,2
T-004,33,1,3
T-004,33,1,4
T-004,34,1,1
T-004,34,1,2
T-004,34,1,3
T-004,34,1,4
T-004,35,1,1
T-004,35,1,2
T-004,35,1,3
T-004,35,1,4
T-004,36,1,1
T-004,36,1,2
T-004,36,1,3
