task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-011,1,21,1,4
T-011,1,22,1,4
T-011,1,23,1,4
T-011,1,24,1,4
T-011,1,25,1,4
T-011,1,26,1,4
T-011,1,27,1,4
T-011,1,28,1,4
T-012,0,0,1,54
T-012,1,1,1,8
T-012,1,2,1,8
T-012,1,3,1,8
T-012,1,4,1,8
T-012,1,5,1,8
T-012,1,6,1,8
T-012,1,7,1,8
T-012,1,8,1,8
T-012,1,9,1,8
T-012,1,10,1,8
T-012,1,11,1,8
T-012,1,12,1,8
T-012,1,13,1,8
T-012,1,14,1,8
T-012,1,15,1,8
T-012,1,16,1,8
T-012,1,17,1,8
T-012,1,18,1,8
T-012,1,19,1,8
T-012,1,20,1,8
T-012,1,21,1,8
T-012,1,22,1,8
T-012,1,23,1,8
T-012,1,24,1,8
T-012,1,25,1,8
T-012,1,26,1,8
T-012,1,27,1,8
T-012,1,28,1,8
T-013,0,0,2,53
T-013,1,1,2,12
T-013,1,2,2,12
T-013,1,3,2,12
T-013,1,4,2,12
T-013,1,5,2,12
T-013,1,6,2,12
T-013,1,7,2,12
T-013,1,8,2,12
T-013,1,9,2,12
T-013,1,10,2,12
T-013,1,11,2,12
T-013,1,12,2,12
T-013,1,13,2,12
T-013,1,14,2,12
T-013,1,15,2,12
T-013,1,16,2,12
T-013,1,17,2,12
T-013,1,18,2,12
T-013,1,19,2,12
T-013,1,20,2,12
T-013,1,21,2,12
T-013,1,22,2,12
T-013,1,23,2,12
T-013,1,24,2,12
T-013,1,25,2,12
T-013,1,26,2,12
T-013,1,27,2,12
T-013,1,28,2,12
T-014,0,0,1,52
T-014,1,1,1,8
T-014,1,2,1,8
T-014,1,3,1,8
T-014,1,4,1,8
T-014,1,5,1,8
T-014,1,6,1,8
T-014,1,7,1,8
T-014,1,8,1,8
T-014,1,9,1,8
T-014,1,10,1,8
T-014,1,11,1,8
T-014,1,12,1,8
T-014,1,13,1,8
T-014,1,14,1,8
T-014,1,15,1,8
T-014,1,16,1,8
T-014,1,17,1,8
T-014,1,18,1,8
T-014,1,19,1,8
T-014,1,20,1,8
T-014,1,21,1,8
T-014,1,22,1,8
T-014,1,23,1,8
T-014,1,24,1,8
T-014,1,25,1,8
T-014,1,26,1,8
T-014,1,27,1,8
T-014,1,28,1,8
T-015,0,0,1,56
T-015,1,1,1,8
T-015,1,2,1,8
T-015,1,3,1,8
T-015,1,4,1,8
T-015,1,5,1,8
T-015,1,6,1,8
T-015,1,7,1,8
T-015,1,8,1,8
T-015,1,9,1,8
T-015,1,10,1,8
T-015,1,11,1,8
T-015,1,12,1,8
T-015,1,13,1,8
T-015,1,14,1,8
T-015,1,15,1,8
T-015,1,16,1,8
T-015,1,17,1,8
T-015,1,18,1,8
T-015,1,19,1,8
T-015,1,20,1,8
T-015,1,21,1,8
T-015,1,22,1,8
T-015,1,23,1,8
T-015,1,24,1,8
T-015,1,25,1,8
T-015,1,26,1,8
T-015,1,27,1,8
T-015,1,28,1,8
T-016,0,0,3,51
T-016,1,1,3,4
T-016,1,2,3,4
T-016,1,3,3,4
T-016,1,4,3,4
T-016,1,5,3,4
T-016,1,6,3,4
T-016,1,7,3,4
T-016,1,8,3,4
T-016,1,9,3,4
T-016,1,10,3,4
T-016,1,11,3,4
T-016,1,12,3,4
T-016,1,13,3,4
T-016,1,14,3,4
T-016,1,15,3,4
T-016,1,16,3,4
T-016,1,17,3,4
T-016,1,18,3,4
T-016,1,19,3,4
T-016,1,20,3,4
T-016,1,21,3,4
T-016,1,22,3,4
T-016,1,23,3,4
T-016,1,24,3,4
T-016,1,25,3,4
T-016,1,26,3,4
T-016,1,27,3,4
T-016,1,28,3,4
T-017,0,0,2,50
T-017,1,1,2,4
T-017,1,2,2,4
T-017,1,3,2,4
T-017,1,4,2,4
T-017,1,5,2,4
T-017,1,6,2,4
T-017,1,7,2,4
T-017,1,8,2,4
T-017,1,9,2,4
T-017,1,10,2,4
T-017,1,11,2,4
T-017,1,12,2,4
T-017,1,13,2,4
T-017,1,14,2,4
T-017,1,15,2,4
T-017,1,16,2,4
T-017,1,17,2,4
T-017,1,18,2,4
T-017,1,19,2,4
T-017,1,20,2,4
T-017,1,21,2,4
T-017,1,22,2,4
T-017,1,23,2,4
T-017,1,24,2,4
T-017,1,25,2,4
T-017,1,26,2,4
T-017,1,27,2,4
T-017,1,28,2,4
T-018,0,0,3,47
T-018,1,1,3,8
T-018,1,2,3,8
T-018,1,3,3,8
T-018,1,4,3,8
T-018,1,5,3,8
T-018,1,6,3,8
T-018,1,7,3,8
T-018,1,8,3,8
T-018,1,9,3,8
T-018,1,10,3,8
T-018,1,11,3,8
T-018,1,12,3,8
T-018,1,13,3,8
T-018,1,14,3,8
T-018,1,15,3,8
T-018,1,16,3,8
T-018,1,17,3,8
T-018,1,18,3,8
T-018,1,19,3,8
T-018,1,20,3,8
T-018,1,21,3,8
T-018,1,22,3,8
T-018,1,23,3,8
T-018,1,24,3,8
T-018,1,25,3,8
T-018,1,26,3,8
T-018,1,27,3,8
T-018,1,28,3,8
T-019,0,0,1,51
T-019,1,1,1,4
T-019,1,2,1,4
T-019,1,3,1,4
T-019,1,4,1,4
T-019,1,5,1,4
T-019,1,6,1,4
T-019,1,7,1,4
T-019,1,8,1,4
T-019,1,9,1,4
T-019,1,10,1,4
T-019,1,11,1,4
T-019,1,12,1,4
T-019,1,13,1,4
T-019,1,14,1,4
T-019,1,15,1,4
T-019,1,16,1,4
T-019,1,17,1,4
T-019,1,18,1,4
T-019,1,19,1,4
T-019,1,20,1,4
T-019,1,21,1,4
T-019,1,22,1,4
T-019,1,23,1,4
T-019,1,24,1,4
T-019,1,25,1,4
T-019,1,26,1,4
T-019,1,27,1,4
T-019,1,28,1,4
