Task_ID,Gate_number,Floor_No,Shift_no,Actual,Predicted
T-015,0,0,3,-1.0,-1.0
T-014,46,5,3,2.0,1.0
T-007,26,1,2,1.0,-0.0
T-017,50,5,1,1.0,1.0
T-010,11,0,3,2.0,2.0
T-010,18,1,2,-2.0,-1.0
T-017,0,0,4,3.0,3.0
T-009,29,1,2,-2.0,-1.0
T-010,24,1,2,2.0,2.0
T-001,4,0,1,3.0,1.0
T-009,45,5,3,3.0,3.0
T-010,21,1,2,-2.0,-1.0
T-004,45,5,2,3.0,3.0
T-001,55,5,3,0.0,-1.0
T-006,9,0,3,-1.0000000000000002,-0.0
T-012,49,2,3,0.0,-0.0
T-008,40,1,3,1.0,1.0
T-001,45,4,2,0.0,1.0
T-012,25,1,3,1.0,-0.0
T-017,51,5,4,-2.0,-0.0
T-006,52,4,2,-2.0,-2.0
T-007,47,3,2,3.0,3.0
T-015,33,1,3,-1.0,1.0
T-017,7,0,1,4.0,3.0
T-002,52,4,2,0.0,-1.0
T-017,11,0,2,0.0,-0.0
T-012,24,1,2,-1.0,-1.0
T-017,43,3,3,0.0,-0.0
T-009,44,4,1,0.0,-0.0
T-009,54,5,2,-1.0000000000000002,-0.0
T-010,25,1,1,2.0,0.0
T-010,48,4,1,-2.0,-1.0
T-015,44,4,4,-2.0,-2.0
T-008,50,4,1,1.0,2.0
T-002,50,2,1,-2.0,-2.0
T-015,37,1,4,-1.0000000000000002,-0.0
T-015,46,5,3,0.0,0.0
T-001,32,1,1,2.0,2.0
T-005,43,3,1,0.0,-0.0
T-009,27,1,4,-2.0,-0.0
T-011,45,4,3,-2.0,-1.0
T-015,47,3,1,1.0,1.0
T-008,4,0,1,-2.0,-0.0
T-015,31,1,2,-1.0000000000000002,0.0
T-014,2,0,2,2.0,1.0
T-011,50,2,3,1.0,0.0
T-010,29,1,2,-2.0,-1.0
T-001,10,0,4,-2.0,-1.0
T-001,18,1,4,2.0,1.0
T-007,53,2,2,0.0,1.0
T-011,48,4,4,-2.0,-1.0
T-003,44,5,3,-1.0000000000000002,0.0
T-007,15,1,2,-1.0000000000000002,-0.0
T-008,22,1,4,-1.0000000000000002,-1.0
T-011,27,1,2,2.0,1.0
T-017,53,4,1,0.0,-1.0
T-013,44,3,2,3.0,3.0
T-006,35,1,1,2.0,2.0
T-001,0,0,4,-2.0,-1.0
T-004,10,0,1,1.0,1.0
T-016,10,0,3,1.0,2.0
T-011,53,5,4,3.0,2.0
T-007,45,5,3,1.0,1.0
T-011,14,1,1,0.0,-1.0
T-015,11,0,1,-1.0,0.0
T-007,19,1,4,5.0,4.0
T-017,12,0,1,2.0,1.0
T-017,8,0,4,-1.0,-0.0
T-014,48,4,3,4.0,2.0
T-017,45,4,2,-1.0,-0.0
T-017,28,1,1,-2.0,-0.0
T-017,48,4,2,3.0,1.0
T-012,31,1,4,-2.0,-1.0
T-008,26,1,3,0.0,-0.0
T-016,45,2,2,-2.0,-0.0
T-010,44,4,3,-2.0,-0.0
T-010,50,2,4,0.0,1.0
T-008,11,0,1,-2.0,-1.0
T-010,5,0,2,-1.0,0.0
T-003,51,5,3,-2.0,-1.0
T-015,6,0,1,0.0,-1.0
T-001,35,1,2,-2.0,-2.0
T-001,26,1,2,0.0,0.0
T-005,52,5,4,-1.0000000000000002,-1.0
T-008,55,5,2,1.0,1.0
T-001,26,1,3,-2.0,-1.0
T-007,26,1,4,-2.0,-2.0
T-006,45,2,2,-2.0,-1.0
T-009,50,5,3,0.0,-1.0
T-003,40,1,3,0.0,0.0
T-006,2,0,1,-2.0,-0.0
T-003,49,3,4,-1.0000000000000002,-1.0
T-012,42,1,4,1.0,0.0
T-009,40,1,3,1.0,0.0
T-005,36,1,4,1.0,2.0
T-017,7,0,2,-1.0,0.0
T-006,50,2,3,1.0,2.0
T-003,14,1,2,-1.0,-0.0
T-011,50,5,3,3.0,3.0
T-014,47,5,2,2.0,0.0
T-014,45,4,1,-2.0,-1.0
T-014,48,5,1,-1.0000000000000002,0.0
T-008,40,1,4,-2.0,-2.0
T-005,54,5,4,-2.0,-2.0
T-008,16,1,3,0.0,-0.0
T-011,29,1,3,1.0,-0.0
T-012,8,0,2,1.0,0.0
T-007,50,5,1,0.0,1.0
T-001,48,4,4,-2.0,-0.0
T-015,7,0,4,-2.0,-1.0
T-011,55,5,1,3.0,2.0
T-001,24,1,4,2.0,2.0
T-009,49,3,3,2.0,1.0
T-005,49,5,4,-2.0,-1.0
T-006,42,1,2,0.0,-1.0
T-003,14,1,4,1.0,0.0
T-002,48,2,2,1.0,0.0
T-005,49,5,3,1.0,0.0
T-017,31,1,2,3.0,1.0
T-012,27,1,4,2.0,1.0
T-011,52,5,2,2.0,2.0
T-017,51,2,3,-2.0,-2.0
T-016,41,1,1,0.0,-0.0
T-002,50,4,4,-1.0,0.0
T-001,27,1,4,-1.0,-1.0
T-006,44,5,3,0.0,-0.0
T-001,32,1,4,2.0,1.0
T-009,13,1,2,1.0,0.0
T-016,18,1,2,-2.0,-1.0
T-013,34,1,3,2.0,1.0
T-001,52,4,2,1.0,-0.0
T-003,52,4,4,-1.0000000000000002,-1.0
T-003,28,1,1,-2.0,-2.0
T-015,18,1,4,2.0,0.0
T-017,40,1,4,-2.0,-1.0
T-008,20,1,3,-2.0,0.0
T-017,45,2,3,1.0,1.0
T-014,45,5,3,-1.0000000000000002,0.0
T-003,36,1,1,4.0,3.0
T-016,51,5,1,-2.0,-1.0
T-015,45,4,1,-2.0,-1.0
T-015,1,0,2,-2.0,-1.0
T-014,49,2,4,-1.0000000000000002,-2.0
T-005,49,5,3,3.0,3.0
T-005,15,1,2,3.0,2.0
T-007,38,1,4,2.0,3.0
T-010,43,3,3,1.0,1.0
T-001,17,1,1,2.0,2.0
T-016,50,5,4,4.0,2.0
T-004,8,0,4,1.0,0.0
T-016,48,4,3,-2.0,-1.0
T-014,38,1,3,-2.0,-1.0
T-001,48,5,3,2.0,3.0
T-010,15,1,1,1.0,0.0
T-017,3,0,1,0.0,-1.0
T-009,22,1,4,0.0,-0.0
T-008,3,0,2,3.0,2.0
T-002,32,1,4,1.0,0.0
T-006,38,1,3,0.0,-0.0
T-014,36,1,3,1.0,0.0
T-012,51,2,1,-2.0,-1.0
T-015,48,5,4,0.0,-0.0
T-007,26,1,1,4.0,2.0
T-005,48,4,4,-1.0,-1.0
T-014,55,5,3,0.0,-0.0
T-016,49,4,4,2.0,1.0
T-013,44,5,4,3.0,3.0
T-013,13,1,2,-1.0000000000000002,-1.0
T-004,4,0,2,-1.0,-0.0
T-008,40,1,1,2.0,1.0
T-011,20,1,2,1.0,0.0
T-015,55,2,1,1.0,1.0
T-009,13,1,4,-2.0,-1.0
T-017,21,1,2,2.0,2.0
T-008,12,0,2,-1.0,-1.0
T-016,44,5,4,-2.0,-2.0
T-005,40,1,1,-2.0,-2.0
T-015,20,1,1,-2.0,-2.0
T-014,55,5,1,1.0,1.0
T-009,55,5,1,-2.0,-1.0
T-017,36,1,2,4.0,3.0
T-006,47,4,3,1.0,1.0
T-014,43,4,1,-1.0,-1.0
T-005,51,5,2,-2.0,-2.0
T-009,55,2,1,0.0,1.0
T-012,28,1,1,0.0,0.0
T-013,5,0,2,1.0,1.0
T-008,38,1,4,-2.0,-1.0
T-009,15,1,4,2.0,2.0
T-004,43,5,3,3.0,2.0
T-007,53,2,1,-1.0000000000000002,-0.0
T-001,49,4,2,1.0,0.0
T-004,49,4,4,-2.0,-1.0
T-001,26,1,3,1.0,-0.0
T-002,50,5,3,2.0,1.0
T-013,55,2,2,0.0,-1.0
T-014,52,5,2,0.0,-1.0
T-001,7,0,2,0.0,-0.0
T-011,53,5,4,-1.0000000000000002,-1.0
T-016,1,0,1,3.0,2.0
T-016,11,0,3,2.0,2.0
T-012,47,5,3,-2.0,-0.0
T-003,48,5,3,-2.0,-1.0
T-005,46,5,4,2.0,2.0
T-014,2,0,4,-1.0,-1.0
T-007,44,4,4,3.0,3.0
T-002,28,1,1,-2.0,-1.0
T-006,49,3,1,2.0,2.0
T-008,31,1,1,-2.0,-1.0
T-003,12,0,3,1.0,0.0
T-005,37,1,4,-2.0,-1.0
T-012,55,2,4,-2.0,-1.0
T-006,44,4,2,0.0,-0.0
T-015,45,5,3,-2.0,-1.0
T-004,51,2,2,0.0,-1.0
T-005,37,1,3,-2.0,-2.0
T-014,49,4,1,1.0,1.0
T-010,49,4,3,-2.0,-0.0
T-007,43,3,4,-2.0,-1.0
T-010,1,0,1,0.0,1.0
T-004,37,1,4,-2.0,-1.0
T-005,38,1,3,-2.0,-1.0
T-001,3,0,2,1.0,1.0
T-010,45,5,3,1.0,-0.0
T-014,12,0,4,1.0,0.0
T-011,2,0,1,-2.0,-1.0
T-016,49,3,1,-1.0000000000000002,-1.0
T-009,41,1,2,2.0,0.0
T-002,49,2,2,-2.0,-1.0
T-016,50,4,1,-2.0,-2.0
T-001,44,5,1,4.0,3.0
T-005,5,0,2,-2.0,-1.0
T-001,47,3,2,2.0,1.0
T-009,43,3,2,-2.0,-1.0
T-004,38,1,2,-2.0,-1.0
T-015,49,4,2,-2.0,-1.0
T-009,10,0,3,0.0,-0.0
T-009,23,1,3,-1.0,-1.0
T-004,48,4,3,-1.0,-1.0
T-017,53,4,4,0.0,-0.0
T-016,34,1,1,3.0,3.0
T-001,25,1,3,0.0,0.0
T-003,33,1,2,-2.0,-1.0
T-008,50,2,3,2.0,2.0
T-001,49,5,1,2.0,0.0
T-009,47,3,1,0.0,-0.0
T-012,55,5,1,4.0,2.0
T-012,41,1,1,0.0,0.0
T-003,2,0,3,2.0,3.0
T-015,18,1,2,-1.0,0.0
T-004,18,1,3,2.0,0.0
T-009,45,2,1,1.0,-0.0
T-006,13,1,2,0.0,1.0
T-010,53,4,4,-1.0000000000000002,-1.0
T-002,18,1,3,0.0,-0.0
T-004,4,0,3,-1.0000000000000002,-1.0
T-002,45,5,1,2.0,1.0
T-011,25,1,1,2.0,1.0
T-016,51,5,1,2.0,0.0
T-017,30,1,3,-2.0,-1.0
T-001,52,5,3,3.0,3.0
T-013,47,5,4,0.0,0.0
T-001,47,3,3,-1.0000000000000002,-0.0
T-007,49,3,3,4.0,3.0
T-015,7,0,2,0.0,-0.0
T-004,11,0,3,2.0,0.0
T-012,35,1,4,0.0,-0.0
T-007,23,1,2,-1.0000000000000002,-1.0
T-002,49,4,2,-2.0,-1.0
T-001,32,1,2,-2.0,-1.0
T-016,43,5,2,-2.0,-1.0
T-009,32,1,1,2.0,1.0
T-011,45,4,4,-2.0,-2.0
T-001,49,2,3,-2.0,0.0
T-016,28,1,4,0.0,-0.0
T-017,25,1,3,-2.0,-1.0
T-008,36,1,2,0.0,-0.0
T-010,52,4,2,-2.0,-1.0
T-001,43,5,3,1.0,-0.0
T-005,43,3,3,3.0,2.0
T-017,48,2,1,1.0,-0.0
T-006,3,0,3,-1.0000000000000002,0.0
T-016,51,2,4,-2.0,-1.0
T-012,35,1,4,-2.0,-0.0
T-005,30,1,3,2.0,2.0
T-007,41,1,4,-1.0000000000000002,-1.0
T-012,24,1,4,-2.0,-1.0
T-003,43,4,4,-1.0,0.0
T-016,16,1,3,2.0,2.0
T-007,9,0,4,-2.0,-1.0
T-005,9,0,4,0.0,-0.0
T-016,50,2,2,-2.0,-1.0
T-013,16,1,4,2.0,3.0
T-001,4,0,2,2.0,0.0
T-016,49,3,4,0.0,0.0
T-001,33,1,3,-2.0,-1.0
T-001,48,5,2,-2.0,-1.0
T-012,5,0,1,4.0,2.0
T-014,20,1,3,-2.0,-1.0
T-009,50,5,2,0.0,-0.0
T-012,40,1,2,-2.0,-1.0
T-007,44,5,3,-1.0000000000000002,-1.0
T-006,53,4,3,1.0,-0.0
T-005,53,4,2,-1.0,-1.0
T-012,44,4,1,-1.0,-0.0
T-017,45,4,4,0.0,-0.0
T-011,52,5,2,1.0,0.0
T-003,19,1,1,2.0,1.0
T-014,42,1,2,2.0,0.0
T-017,46,5,4,1.0,-0.0
T-011,38,1,4,-1.0,-1.0
T-007,51,2,1,1.0,2.0
T-007,5,0,2,2.0,2.0
T-001,2,0,2,1.0,-0.0
T-017,48,4,1,1.0,0.0
T-001,12,0,3,0.0,0.0
T-008,0,0,4,-1.0,-0.0
T-014,22,1,2,0.0,-1.0
T-017,33,1,2,-2.0,-1.0
T-003,30,1,4,2.0,1.0
T-017,18,1,3,-2.0,-2.0
T-009,34,1,3,2.0,1.0
T-013,27,1,1,3.0,2.0
T-010,10,0,3,1.0,1.0
T-007,38,1,3,-1.0000000000000002,-0.0
T-014,4,0,4,0.0,1.0
T-012,49,5,3,0.0,0.0
T-004,48,4,1,-1.0000000000000002,0.0
T-015,44,4,3,-2.0,-1.0
T-005,6,0,1,4.0,3.0
T-016,19,1,3,0.0,0.0
T-011,8,0,2,2.0,3.0
T-013,8,0,3,0.0,1.0
T-005,49,3,3,2.0,1.0
T-013,1,0,2,4.0,3.0
T-003,5,0,1,5.0,4.0
T-012,44,4,4,-2.0,-1.0
T-012,12,0,2,-1.0000000000000002,-0.0
T-001,49,5,3,-2.0,-2.0
T-005,21,1,1,-2.0,-1.0
T-007,36,1,3,-2.0,-1.0
T-004,42,1,1,2.0,1.0
T-005,44,4,2,-1.0000000000000002,0.0
T-016,32,1,3,2.0,2.0
T-012,6,0,3,3.0,1.0
T-011,2,0,3,3.0,2.0
T-001,30,1,3,-1.0000000000000002,-0.0
T-012,42,1,1,2.0,0.0
T-005,20,1,4,1.0,1.0
T-007,0,0,2,-2.0,-2.0
T-002,49,2,1,0.0,0.0
T-002,15,1,1,3.0,2.0
T-006,16,1,4,-1.0000000000000002,-0.0
T-014,48,4,4,-1.0,0.0
T-001,41,1,3,-2.0,-2.0
T-010,8,0,2,1.0,-0.0
T-005,29,1,4,-1.0,-0.0
T-016,13,1,1,-2.0,-1.0
T-001,31,1,4,-2.0,-1.0
T-015,23,1,4,1.0,2.0
T-016,45,5,3,-2.0,-1.0
T-002,13,1,2,1.0,1.0
T-012,45,2,3,-1.0000000000000002,-1.0
T-002,27,1,2,0.0,-0.0
T-008,49,5,4,3.0,2.0
T-004,23,1,1,-2.0,-0.0
T-003,0,0,1,-2.0,-2.0
T-015,0,0,1,0.0,-0.0
T-003,44,5,4,0.0,0.0
T-007,35,1,1,-2.0,-2.0
T-009,20,1,2,-2.0,-2.0
T-008,20,1,2,-2.0,-1.0
T-003,16,1,4,-2.0,-1.0
T-004,50,2,3,-2.0,-1.0
T-008,49,4,1,2.0,0.0
T-015,55,2,3,-2.0,-2.0
T-016,46,2,1,1.0,2.0
T-016,29,1,1,-1.0000000000000002,-0.0
T-003,7,0,1,2.0,0.0
T-010,48,5,4,-1.0,-0.0
T-011,50,4,1,3.0,3.0
T-003,54,5,3,-1.0,0.0
T-001,44,3,4,-1.0000000000000002,0.0
T-011,26,1,3,1.0,1.0
T-007,9,0,4,0.0,-1.0
T-008,21,1,2,3.0,3.0
T-009,38,1,4,-2.0,-2.0
T-006,26,1,2,-2.0,-1.0
T-011,49,4,2,-1.0,0.0
T-008,43,4,2,-2.0,-1.0
T-009,46,2,1,3.0,2.0
T-010,10,0,3,-2.0,-1.0
T-016,49,3,2,1.0,1.0
T-011,49,5,2,-1.0000000000000002,-1.0
T-007,3,0,1,0.0,0.0
T-013,43,3,1,3.0,1.0
T-003,18,1,1,1.0,-0.0
T-001,47,4,2,-1.0000000000000002,0.0
T-008,45,2,2,3.0,2.0
T-012,35,1,2,-2.0,-2.0
T-017,47,5,2,-1.0000000000000002,-1.0
T-009,18,1,2,3.0,1.0
T-015,45,5,4,3.0,3.0
T-008,2,0,3,3.0,3.0
T-008,38,1,4,-2.0,-1.0
T-013,47,3,4,1.0,0.0
T-005,53,2,3,2.0,1.0
T-010,45,4,4,2.0,0.0
T-013,23,1,2,2.0,1.0
T-012,22,1,3,4.0,3.0
T-007,33,1,1,-2.0,-1.0
T-014,48,5,3,1.0,1.0
T-014,9,0,4,3.0,2.0
T-010,21,1,4,-2.0,-1.0
T-016,2,0,4,-2.0,-1.0
T-006,24,1,2,1.0,1.0
T-006,16,1,2,-1.0000000000000002,0.0
T-001,44,4,4,-1.0,-1.0
T-013,35,1,3,5.0,4.0
T-003,53,2,2,-1.0,-1.0
T-011,11,0,4,2.0,0.0
T-013,0,0,1,0.0,0.0
T-013,20,1,3,-1.0000000000000002,-0.0
T-003,19,1,1,-2.0,-1.0
T-011,5,0,4,0.0,0.0
T-013,53,2,4,0.0,0.0
T-016,39,1,1,0.0,-0.0
T-008,5,0,1,0.0,-1.0
T-004,9,0,2,-2.0,-1.0
T-013,30,1,3,-2.0,-2.0
T-001,45,5,4,0.0,-0.0
T-005,30,1,4,-1.0,1.0
T-001,34,1,3,3.0,2.0
T-004,49,3,3,-1.0,-1.0
T-009,49,3,3,-2.0,-2.0
T-017,48,4,3,0.0,0.0
T-008,42,1,1,3.0,1.0
T-002,36,1,4,-2.0,-1.0
T-014,50,2,3,-2.0,-1.0
T-005,47,4,3,-2.0,-2.0
T-014,1,0,1,2.0,1.0
T-005,40,1,1,2.0,0.0
T-007,8,0,1,-2.0,-1.0
T-016,20,1,4,-2.0,-1.0
T-007,52,4,2,-2.0,-2.0
T-007,33,1,4,-1.0000000000000002,-0.0
T-004,24,1,4,-2.0,-2.0
T-005,44,4,1,-1.0000000000000002,-1.0
T-003,15,1,2,2.0,2.0
T-016,33,1,4,3.0,2.0
T-004,47,3,2,2.0,0.0
T-013,47,4,3,-2.0,-0.0
T-008,50,5,4,2.0,2.0
T-008,49,3,2,-1.0000000000000002,-1.0
T-008,53,5,4,0.0,1.0
T-007,49,2,3,1.0,-0.0
T-016,18,1,2,1.0,2.0
T-001,45,2,3,-2.0,-1.0
T-016,14,1,4,0.0,-1.0
T-015,33,1,2,3.0,1.0
T-006,40,1,3,-2.0,-1.0
T-014,52,5,4,1.0,3.0
T-001,34,1,2,4.0,3.0
T-012,5,0,2,2.0,2.0
T-004,14,1,3,-2.0,-0.0
T-009,41,1,3,-2.0,-1.0
T-005,18,1,3,1.0,-0.0
T-014,45,2,1,3.0,2.0
T-010,44,4,4,4.0,2.0
T-008,35,1,3,-2.0,-0.0
T-008,26,1,3,2.0,2.0
T-002,53,4,2,3.0,1.0
T-006,35,1,1,-1.0,-1.0
T-002,51,2,3,1.0,1.0
T-016,50,5,3,-2.0,-2.0
T-002,34,1,1,-2.0,-2.0
T-017,35,1,3,3.0,3.0
T-007,36,1,2,-2.0,-1.0
T-005,48,5,2,1.0,0.0
T-001,45,4,4,2.0,0.0
T-007,37,1,3,-2.0,-1.0
T-002,49,4,3,1.0,0.0
T-015,19,1,1,3.0,2.0
T-009,36,1,4,-2.0,-1.0
T-002,49,2,3,1.0,1.0
T-005,39,1,3,-2.0,-1.0
T-002,49,4,1,-1.0000000000000002,-0.0
T-016,7,0,1,-2.0,-1.0
T-010,42,1,1,-2.0,-1.0
T-002,49,4,3,-1.0,-0.0
T-003,28,1,3,3.0,2.0
T-016,9,0,2,-2.0,-2.0
T-010,31,1,2,-1.0,0.0
T-002,20,1,2,2.0,1.0
T-011,21,1,4,1.0,0.0
T-010,39,1,1,0.0,-0.0
T-015,34,1,3,-1.0,-0.0
T-012,47,5,2,-1.0000000000000002,-0.0
T-016,54,5,2,-2.0,-2.0
T-012,19,1,2,-2.0,-1.0
T-002,27,1,2,-2.0,-1.0
T-001,19,1,4,1.0,2.0
T-010,49,4,2,2.0,0.0
T-005,27,1,4,0.0,0.0
T-015,0,0,1,-2.0,-1.0
T-009,23,1,3,-1.0,-1.0
T-005,44,5,1,1.0,2.0
T-013,51,5,3,-1.0000000000000002,0.0
T-001,48,4,3,3.0,1.0
T-003,49,5,1,4.0,3.0
T-012,49,2,4,1.0,-0.0
T-005,53,2,2,0.0,-0.0
T-013,47,4,1,-2.0,0.0
T-008,8,0,2,-2.0,-1.0
T-016,45,5,2,0.0,0.0
T-006,46,5,2,-1.0000000000000002,-0.0
T-009,55,5,3,-2.0,-2.0
T-011,45,2,3,0.0,-1.0
T-013,40,1,3,-1.0000000000000002,-1.0
T-013,48,4,2,0.0,-1.0
T-015,18,1,3,1.0,0.0
T-006,55,2,3,-1.0000000000000002,0.0
T-011,38,1,4,2.0,1.0
T-008,13,1,4,1.0,0.0
T-004,3,0,4,-1.0000000000000002,-1.0
T-016,38,1,3,0.0,-1.0
T-013,43,3,4,-1.0,0.0
T-010,34,1,4,-2.0,-1.0
T-014,16,1,4,-1.0000000000000002,-1.0
T-015,39,1,2,4.0,2.0
T-008,10,0,2,-2.0,-1.0
T-009,47,5,3,-2.0,-1.0
T-001,14,1,2,3.0,2.0
T-006,33,1,3,0.0,0.0
T-001,55,2,3,-1.0,-1.0
T-009,51,5,1,-2.0,-1.0
T-001,41,1,4,1.0,-0.0
T-011,34,1,2,3.0,1.0
T-004,37,1,3,-1.0000000000000002,0.0
T-015,10,0,2,-1.0,-1.0
T-003,12,0,1,-2.0,-1.0
T-011,27,1,1,0.0,1.0
T-016,50,2,2,1.0,0.0
T-012,43,4,3,-1.0,-0.0
T-005,21,1,3,4.0,2.0
T-013,53,2,1,1.0,1.0
T-011,14,1,2,-2.0,-2.0
T-012,21,1,3,4.0,3.0
T-002,51,2,3,0.0,-0.0
T-016,26,1,3,0.0,0.0
T-004,45,2,2,-2.0,-1.0
T-001,47,4,1,0.0,-1.0
T-017,50,4,1,1.0,0.0
T-001,10,0,3,-1.0000000000000002,0.0
T-007,46,2,3,1.0,-0.0
T-014,29,1,1,2.0,1.0
T-010,40,1,2,3.0,2.0
T-008,50,5,1,-1.0000000000000002,-0.0
T-013,32,1,2,1.0,0.0
T-011,22,1,4,-1.0000000000000002,-0.0
T-017,40,1,2,-2.0,-2.0
T-001,42,1,1,-2.0,-2.0
T-017,41,1,4,-1.0,-1.0
T-005,39,1,2,3.0,2.0
T-011,28,1,4,0.0,0.0
T-008,38,1,2,1.0,2.0
T-001,54,5,3,3.0,1.0
T-016,0,0,3,1.0,-0.0
T-013,16,1,1,0.0,0.0
T-003,53,4,1,3.0,3.0
T-003,44,3,4,-2.0,-1.0
T-009,30,1,4,-1.0000000000000002,0.0
T-006,47,4,2,1.0,-0.0
T-010,47,5,2,2.0,2.0
T-009,51,2,1,0.0,-0.0
T-009,31,1,3,-1.0,0.0
T-009,9,0,4,1.0,0.0
T-013,47,5,4,-1.0,-1.0
T-006,0,0,1,0.0,1.0
T-015,43,4,4,-1.0,-1.0
T-016,43,5,2,-1.0000000000000002,-0.0
T-012,34,1,2,-1.0,-0.0
T-002,15,1,2,-1.0,0.0
T-015,36,1,4,-2.0,-1.0
T-004,16,1,2,1.0,2.0
T-012,25,1,4,0.0,-0.0
T-016,25,1,4,5.0,4.0
T-013,52,5,3,0.0,-0.0
T-008,30,1,2,-1.0,0.0
T-015,53,4,3,0.0,-0.0
T-003,19,1,2,-1.0000000000000002,-1.0
T-006,3,0,1,-2.0,-1.0
T-003,2,0,4,1.0,0.0
T-011,22,1,2,3.0,2.0
T-001,48,4,4,-1.0,-1.0
T-013,46,2,1,0.0,-1.0
T-004,16,1,2,-1.0,-1.0
T-007,11,0,1,2.0,1.0
T-003,41,1,3,3.0,3.0
T-002,55,2,1,-2.0,-1.0
T-011,50,5,3,0.0,0.0
T-013,48,2,2,-2.0,-2.0
T-017,35,1,2,0.0,-0.0
T-001,51,2,2,2.0,2.0
T-001,11,0,2,-2.0,-2.0
T-017,43,4,2,-1.0000000000000002,-0.0
T-009,4,0,4,-2.0,-0.0
T-005,31,1,3,-2.0,-2.0
T-007,7,0,1,-1.0000000000000002,-0.0
T-005,36,1,4,-1.0,-1.0
T-009,49,4,1,-1.0,0.0
T-012,6,0,2,-2.0,-1.0
T-001,27,1,1,1.0,0.0
T-005,22,1,3,-1.0,-1.0
T-008,34,1,3,1.0,1.0
T-004,40,1,2,1.0,1.0
T-008,50,5,2,0.0,-1.0
T-010,15,1,4,1.0,0.0
T-001,49,4,4,-1.0000000000000002,0.0
T-014,51,5,2,3.0,2.0
T-009,45,2,3,0.0,-0.0
T-002,39,1,2,1.0,0.0
T-012,4,0,1,-2.0,-1.0
T-006,0,0,4,-1.0000000000000002,-1.0
T-015,19,1,4,0.0,-0.0
T-017,35,1,3,-1.0,0.0
T-017,26,1,2,1.0,1.0
T-015,44,3,3,1.0,0.0
T-009,49,4,4,4.0,2.0
T-013,13,1,1,-1.0000000000000002,-1.0
T-013,18,1,4,3.0,1.0
T-004,54,5,3,0.0,0.0
T-002,2,0,3,1.0,1.0
T-013,34,1,4,-1.0000000000000002,-1.0
T-014,48,4,4,1.0,1.0
T-008,50,2,2,-2.0,-1.0
T-007,51,2,1,-2.0,-1.0
T-007,49,4,3,1.0,-0.0
T-001,8,0,4,3.0,1.0
T-009,8,0,2,-1.0000000000000002,0.0
T-015,54,5,2,1.0,-0.0
T-005,32,1,1,-2.0,-1.0
T-003,45,4,2,-2.0,-1.0
T-004,33,1,2,1.0,-0.0
T-014,31,1,1,-1.0,0.0
T-007,16,1,2,1.0,0.0
T-004,35,1,4,3.0,3.0
T-013,44,4,3,0.0,-1.0
T-009,1,0,3,-1.0000000000000002,0.0
T-009,1,0,2,3.0,1.0
T-001,28,1,3,0.0,-0.0
T-008,35,1,1,2.0,1.0
T-014,9,0,1,-2.0,-1.0
T-007,53,5,2,2.0,3.0
T-013,26,1,2,0.0,0.0
T-001,53,4,1,1.0,0.0
T-002,11,0,3,1.0,-0.0
T-013,43,5,3,-2.0,-1.0
T-010,32,1,2,2.0,1.0
T-011,14,1,4,4.0,3.0
T-010,49,4,3,-1.0,-0.0
T-014,42,1,4,2.0,1.0
T-009,49,4,2,1.0,2.0
T-011,4,0,3,3.0,3.0
T-009,44,5,2,-1.0000000000000002,-1.0
