Crew_ID,Date,Task_Completion_Time,Idle_Time,Shift_Duration,Fatigue_Level,Weather_Condition,Equipment_Used,Tasks_Completed,Experience_Level,Safety_Incidents,Shift_Start_Time,Breaks_Taken,Location
C-135,2023-08-13,36.67,7.88,581.78,7.23,Sunny,Equipment_B,4,2.85,1,2023-01-01 08:05:00,2,BT1
C-150,2023-09-25,87.21,25.83,564.29,1.6,Windy,Equipment_A,7,16.15,0,2023-01-01 04:48:00,3,MT2
C-048,2023-07-17,57.65,24.0,517.06,9.26,Windy,Equipment_A,4,8.92,1,2023-01-01 07:50:00,3,HT1
C-235,2023-11-10,114.88,39.95,547.98,8.78,Windy,Equipment_A,4,3.38,1,2023-01-01 22:18:00,1,BT2
C-034,2023-11-14,26.61,16.51,510.71,8.39,Sunny,Equipment_C,2,7.65,0,2023-01-01 01:28:00,2,HT1
C-233,2023-09-27,49.17,41.06,534.91,1.81,Windy,Equipment_C,6,17.84,0,2023-01-01 06:52:00,3,MT1
C-186,2023-07-17,32.17,11.98,542.55,1.45,Rainy,Equipment_A,6,6.01,1,2023-01-01 13:11:00,3,BT2
C-026,2023-06-22,70.13,20.12,554.01,4.57,Cloudy,Equipment_D,7,9.72,0,2023-01-01 14:52:00,3,MT2
C-234,2023-03-18,54.81,45.65,487.37,8.67,Sunny,Equipment_C,6,7.54,0,2023-01-01 17:55:00,4,MT2
C-059,2023-09-04,53.15,27.32,591.27,8.85,Windy,Equipment_A,3,17.54,0,2023-01-01 01:51:00,2,HT1
C-030,2023-10-03,14.88,41.12,595.47,5.7,Sunny,Equipment_D,5,9.1,0,2023-01-01 19:44:00,2,DT1
C-127,2023-07-15,50.61,51.84,507.82,2.77,Cloudy,Equipment_D,4,6.59,0,2023-01-01 03:01:00,3,HT1
C-191,2023-08-05,24.93,29.54,560.13,6.91,Rainy,Equipment_C,4,12.5,0,2023-01-01 20:19:00,3,MT1
C-215,2023-06-16,64.87,45.07,566.64,6.39,Cloudy,Equipment_C,9,15.83,1,2023-01-01 19:38:00,4,HT1
C-026,2023-07-28,32.9,55.78,502.95,2.05,Cloudy,Equipment_D,5,17.61,0,2023-01-01 07:23:00,1,MT2
C-125,2023-01-12,36.06,24.12,550.03,4.64,Rainy,Equipment_B,5,12.55,1,2023-01-01 14:11:00,2,BT2
C-180,2023-09-21,57.99,11.33,512.98,2.35,Cloudy,Equipment_D,8,15.99,1,2023-01-01 06:08:00,3,MT1
C-194,2023-01-01,51.82,30.19,596.26,1.52,Cloudy,Equipment_D,8,12.2,0,2023-01-01 23:42:00,1,BT1
C-078,2023-07-22,86.67,21.06,509.01,8.3,Rainy,Equipment_B,3,9.07,1,2023-01-01 16:29:00,1,BT1
C-147,2023-02-21,82.95,58.89,550.47,5.01,Cloudy,Equipment_A,2,14.78,0,2023-01-01 04:06:00,2,BT1
C-213,2023-03-28,57.63,29.82,527.88,7.3,Sunny,Equipment_D,8,15.29,1,2023-01-01 00:15:00,1,DT1
C-190,2023-03-06,64.25,19.24,579.39,1.27,Cloudy,Equipment_B,8,1.17,1,2023-01-01 18:31:00,1,MT1
C-140,2023-09-17,63.29,16.34,596.89,2.81,Cloudy,Equipment_D,4,13.39,0,2023-01-01 13:20:00,4,MT1
C-175,2023-03-08,11.84,44.32,554.11,8.5,Cloudy,Equipment_B,1,1.33,1,2023-01-01 01:39:00,1,BT2
C-060,2023-04-08,62.58,43.73,497.05,3.58,Cloudy,Equipment_B,9,13.93,0,2023-01-01 23:52:00,2,BT2
C-058,2023-07-05,32.59,56.28,575.99,6.86,Windy,Equipment_B,4,3.97,0,2023-01-01 18:04:00,4,DT3
C-227,2023-10-18,41.32,46.41,521.27,5.26,Cloudy,Equipment_D,3,11.76,0,2023-01-01 05:36:00,1,DT2
C-100,2023-12-31,70.58,36.8,552.15,7.48,Windy,Equipment_A,3,9.86,1,2023-01-01 20:34:00,4,BT2
C-148,2023-06-24,106.03,22.22,523.86,3.61,Rainy,Equipment_C,5,6.48,1,2023-01-01 04:52:00,3,MT2
C-237,2023-07-16,116.72,19.8,592.76,9.62,Sunny,Equipment_A,1,19.87,1,2023-01-01 00:10:00,4,DT3
C-042,2023-08-10,84.32,48.62,511.12,7.07,Cloudy,Equipment_D,8,4.66,0,2023-01-01 00:16:00,3,MT1
C-203,2023-07-31,25.07,12.09,573.38,6.45,Sunny,Equipment_C,4,9.59,0,2023-01-01 23:12:00,3,HT1
C-111,2023-05-08,56.67,35.41,594.93,5.22,Rainy,Equipment_B,1,14.26,1,2023-01-01 07:30:00,1,BT1
C-104,2023-09-09,70.62,59.48,562.51,2.5,Cloudy,Equipment_C,3,5.97,0,2023-01-01 21:29:00,2,MT2
C-025,2023-06-20,105.62,34.6,543.14,4.0,Windy,Equipment_D,9,15.68,0,2023-01-01 15:24:00,3,HT1
C-250,2023-03-31,50.86,56.17,537.37,4.79,Windy,Equipment_A,8,17.87,1,2023-01-01 11:49:00,3,BT2
C-047,2023-08-13,77.98,8.47,483.66,5.03,Cloudy,Equipment_C,9,1.23,1,2023-01-01 20:35:00,1,DT2
C-057,2023-12-22,10.14,19.42,515.58,7.53,Cloudy,Equipment_C,8,15.85,1,2023-01-01 18:13:00,4,DT1
C-236,2023-06-13,49.79,22.12,599.73,6.06,Cloudy,Equipment_A,9,8.04,0,2023-01-01 17:48:00,1,DT2
C-063,2023-05-22,53.09,17.4,554.67,9.34,Sunny,Equipment_B,4,16.92,1,2023-01-01 01:55:00,1,MT1
C-180,2023-07-19,108.83,47.46,508.32,9.9,Windy,Equipment_D,4,12.43,0,2023-01-01 11:51:00,4,MT1
C-188,2023-05-26,82.53,40.49,514.37,6.51,Sunny,Equipment_D,3,9.75,1,2023-01-01 16:44:00,2,BT2
C-037,2023-01-02,112.07,18.45,528.5,5.84,Rainy,Equipment_D,5,12.9,0,2023-01-01 06:59:00,1,DT3
C-078,2023-11-01,31.39,46.01,492.61,1.08,Windy,Equipment_B,5,3.52,1,2023-01-01 05:47:00,2,BT1
C-138,2023-02-07,48.85,8.97,561.66,3.08,Windy,Equipment_C,1,19.63,0,2023-01-01 21:49:00,3,DT1
C-093,2023-06-09,90.15,18.92,556.37,9.06,Sunny,Equipment_D,1,9.66,1,2023-01-01 00:30:00,1,MT1
C-108,2023-07-20,18.4,19.9,506.36,3.74,Rainy,Equipment_C,1,16.13,0,2023-01-01 18:00:00,3,MT2
C-214,2023-09-17,10.67,17.25,507.55,8.66,Sunny,Equipment_C,3,2.04,0,2023-01-01 00:12:00,1,BT2
C-216,2023-02-22,38.43,19.4,568.17,2.05,Windy,Equipment_A,6,13.38,1,2023-01-01 06:51:00,3,HT1
C-054,2023-06-09,115.68,42.18,581.38,7.02,Windy,Equipment_B,4,16.91,1,2023-01-01 02:53:00,3,DT3
C-142,2023-07-26,53.28,9.84,549.34,3.62,Cloudy,Equipment_B,4,15.81,1,2023-01-01 04:25:00,3,DT1
C-225,2023-03-23,47.67,46.67,581.35,9.93,Rainy,Equipment_C,8,17.72,0,2023-01-01 22:36:00,1,BT2
C-072,2023-06-28,93.91,20.47,554.13,6.9,Cloudy,Equipment_C,4,12.5,0,2023-01-01 21:14:00,1,DT1
C-182,2023-09-08,78.6,33.93,482.04,9.86,Cloudy,Equipment_D,7,2.86,1,2023-01-01 09:59:00,2,DT1
C-034,2023-11-11,81.32,16.55,498.04,6.87,Rainy,Equipment_C,2,5.02,0,2023-01-01 01:41:00,1,HT1
C-107,2023-07-31,11.69,36.55,576.4,3.36,Windy,Equipment_B,8,12.12,0,2023-01-01 05:21:00,4,MT1
C-086,2023-07-28,47.0,50.21,585.36,2.69,Windy,Equipment_D,5,15.41,0,2023-01-01 00:17:00,2,MT2
C-036,2023-07-29,55.09,45.17,527.56,6.18,Cloudy,Equipment_D,8,18.81,1,2023-01-01 08:57:00,2,BT1
C-241,2023-09-07,65.64,50.73,512.31,2.95,Cloudy,Equipment_D,8,11.11,1,2023-01-01 10:10:00,1,MT2
C-096,2023-06-21,23.2,5.28,488.9,7.51,Sunny,Equipment_D,2,4.59,0,2023-01-01 12:24:00,3,DT3
C-234,2023-06-15,33.73,23.61,566.82,4.51,Cloudy,Equipment_D,4,3.54,1,2023-01-01 19:56:00,2,MT2
C-070,2023-07-28,105.53,15.06,561.4,9.93,Sunny,Equipment_D,7,18.16,0,2023-01-01 06:47:00,1,HT1
C-106,2023-04-05,96.3,7.49,552.55,3.69,Sunny,Equipment_B,9,2.59,1,2023-01-01 05:11:00,4,DT1
C-166,2023-01-22,62.56,27.06,538.61,6.01,Cloudy,Equipment_D,8,5.97,0,2023-01-01 00:30:00,3,BT2
C-081,2023-11-22,25.43,17.49,567.82,9.72,Windy,Equipment_C,7,16.96,0,2023-01-01 15:46:00,1,DT2
C-069,2023-03-10,43.1,50.84,590.4,5.2,Windy,Equipment_D,3,13.66,0,2023-01-01 15:22:00,1,HT1
C-234,2023-11-03,80.32,12.72,523.69,3.35,Windy,Equipment_B,5,6.96,1,2023-01-01 20:51:00,4,MT2
C-176,2023-06-28,34.8,44.19,595.75,6.84,Sunny,Equipment_B,5,8.21,0,2023-01-01 19:30:00,3,HT1
C-096,2023-12-15,113.82,25.8,529.73,3.26,Sunny,Equipment_D,4,9.5,1,2023-01-01 23:04:00,1,DT3
C-084,2023-02-28,116.78,14.97,571.6,1.29,Sunny,Equipment_A,4,8.72,1,2023-01-01 00:55:00,1,DT3
C-224,2023-10-21,52.31,6.21,519.24,7.45,Sunny,Equipment_D,7,17.14,0,2023-01-01 09:49:00,4,DT1
C-204,2023-04-26,50.05,6.09,566.34,5.89,Cloudy,Equipment_B,9,7.5,1,2023-01-01 01:14:00,4,BT1
C-210,2023-05-30,23.98,12.67,547.46,2.87,Sunny,Equipment_A,8,5.03,0,2023-01-01 13:49:00,2,BT1
C-081,2023-02-11,30.91,17.99,541.55,7.99,Rainy,Equipment_B,4,8.71,1,2023-01-01 01:19:00,1,DT2
C-175,2023-07-04,32.68,9.31,497.81,1.28,Windy,Equipment_C,4,9.47,1,2023-01-01 16:30:00,4,BT2
C-024,2023-07-23,71.28,39.23,599.63,2.77,Sunny,Equipment_D,2,13.47,0,2023-01-01 03:00:00,1,HT1
C-039,2023-09-10,36.33,49.06,586.44,6.44,Sunny,Equipment_A,4,5.26,0,2023-01-01 04:14:00,1,DT3
C-245,2023-08-05,21.65,12.81,562.74,1.06,Cloudy,Equipment_C,3,1.2,1,2023-01-01 18:08:00,1,MT1
C-151,2023-10-08,42.5,18.71,560.41,4.22,Rainy,Equipment_A,8,13.91,0,2023-01-01 17:36:00,4,HT1
C-145,2023-07-07,27.83,23.27,551.49,1.96,Cloudy,Equipment_A,4,8.87,0,2023-01-01 16:04:00,4,DT1
C-115,2023-05-10,28.84,48.79,487.86,8.81,Rainy,Equipment_D,8,9.02,0,2023-01-01 23:40:00,2,DT3
C-162,2023-01-21,18.35,10.65,515.27,1.65,Sunny,Equipment_B,6,5.45,1,2023-01-01 07:53:00,3,MT2
C-080,2023-11-19,63.36,57.65,587.26,6.94,Rainy,Equipment_C,3,15.02,0,2023-01-01 01:30:00,3,DT2
C-046,2023-08-13,109.35,47.12,593.16,2.54,Sunny,Equipment_C,8,4.24,1,2023-01-01 17:30:00,4,HT1
C-101,2023-02-02,106.65,13.73,525.33,4.18,Windy,Equipment_B,2,10.43,1,2023-01-01 00:39:00,4,HT1
C-074,2023-09-21,32.77,55.59,561.47,5.44,Windy,Equipment_D,7,13.88,1,2023-01-01 03:12:00,3,DT2
C-147,2023-03-08,13.91,11.53,543.83,3.78,Cloudy,Equipment_A,2,6.53,0,2023-01-01 06:44:00,4,BT1
C-004,2023-11-05,80.02,57.47,523.48,4.85,Cloudy,Equipment_C,1,6.78,0,2023-01-01 08:50:00,3,HT1
C-007,2023-03-27,102.99,17.47,511.0,2.75,Rainy,Equipment_A,9,16.05,0,2023-01-01 23:02:00,3,DT1
C-117,2023-03-31,97.68,52.68,539.66,3.95,Rainy,Equipment_D,1,13.7,0,2023-01-01 08:29:00,3,MT2
C-036,2023-06-13,50.11,46.45,557.28,4.51,Rainy,Equipment_A,3,9.04,0,2023-01-01 20:25:00,3,BT1
C-013,2023-11-10,68.3,12.98,489.93,4.3,Windy,Equipment_A,8,12.55,0,2023-01-01 23:21:00,1,DT3
C-080,2023-11-09,113.28,18.04,577.5,5.61,Cloudy,Equipment_A,8,14.73,0,2023-01-01 04:16:00,1,DT2
C-106,2023-08-25,17.17,26.43,563.57,8.52,Rainy,Equipment_B,8,7.78,1,2023-01-01 16:18:00,3,DT1
C-246,2023-03-12,59.4,49.67,540.02,1.48,Windy,Equipment_D,9,18.68,0,2023-01-01 10:12:00,4,BT1
C-106,2023-06-05,38.51,31.77,522.44,2.86,Cloudy,Equipment_B,2,7.58,1,2023-01-01 11:35:00,4,DT1
C-037,2023-04-11,13.17,37.32,586.42,5.47,Sunny,Equipment_A,6,7.18,1,2023-01-01 01:59:00,1,DT3
C-046,2023-09-29,39.66,44.42,541.18,5.3,Cloudy,Equipment_A,5,16.46,1,2023-01-01 19:50:00,4,HT1
C-112,2023-06-20,46.64,22.35,499.96,7.13,Windy,Equipment_D,1,11.22,1,2023-01-01 22:59:00,1,DT3
C-214,2023-03-24,107.63,30.95,555.41,9.94,Rainy,Equipment_A,5,14.79,0,2023-01-01 10:49:00,2,BT2
C-026,2023-10-23,105.08,5.09,486.75,3.28,Sunny,Equipment_C,1,10.35,0,2023-01-01 01:40:00,4,MT2
C-246,2023-07-29,54.33,25.13,512.26,6.19,Windy,Equipment_B,5,9.05,1,2023-01-01 18:33:00,2,BT1
C-036,2023-05-22,66.06,12.15,544.43,6.79,Sunny,Equipment_A,4,16.87,0,2023-01-01 19:32:00,2,BT1
C-178,2023-01-26,17.2,53.42,596.86,1.47,Windy,Equipment_D,5,17.36,1,2023-01-01 00:52:00,4,DT1
C-160,2023-07-21,37.53,59.14,511.03,9.49,Sunny,Equipment_B,5,18.07,1,2023-01-01 11:09:00,3,HT1
C-058,2023-08-28,73.16,40.2,586.62,6.86,Rainy,Equipment_D,2,12.92,0,2023-01-01 04:43:00,4,DT3
C-162,2023-07-02,58.64,54.53,562.01,2.87,Cloudy,Equipment_D,2,15.63,0,2023-01-01 16:09:00,4,MT2
C-205,2023-11-04,34.06,38.55,559.75,4.62,Windy,Equipment_B,3,1.97,0,2023-01-01 23:27:00,1,HT1
C-208,2023-03-17,27.9,31.7,491.44,1.08,Rainy,Equipment_A,1,3.99,1,2023-01-01 17:13:00,4,DT2
C-119,2023-05-10,57.31,15.09,578.34,2.41,Cloudy,Equipment_C,1,3.45,1,2023-01-01 13:52:00,4,MT1
C-210,2023-10-30,67.59,6.51,503.34,3.42,Sunny,Equipment_C,3,18.48,1,2023-01-01 23:38:00,3,BT1
C-002,2023-06-24,115.31,42.48,586.78,3.6,Cloudy,Equipment_A,8,3.21,0,2023-01-01 20:10:00,4,BT1
C-088,2023-02-05,87.28,48.13,556.65,1.19,Rainy,Equipment_B,7,18.61,0,2023-01-01 18:19:00,1,BT1
C-126,2023-08-21,105.13,29.95,511.62,7.45,Sunny,Equipment_B,2,19.66,1,2023-01-01 08:55:00,2,HT1
C-191,2023-05-04,41.37,24.07,571.04,3.9,Rainy,Equipment_B,6,15.53,1,2023-01-01 11:08:00,3,MT1
C-209,2023-12-25,92.75,27.3,516.3,9.12,Windy,Equipment_D,6,7.7,0,2023-01-01 07:02:00,2,BT1
C-004,2023-10-31,76.4,17.61,577.17,4.06,Sunny,Equipment_D,2,10.98,1,2023-01-01 22:44:00,1,HT1
C-070,2023-07-28,64.78,53.27,547.62,5.28,Sunny,Equipment_D,2,18.11,0,2023-01-01 11:14:00,2,HT1
C-247,2023-01-01,67.42,32.42,537.17,9.47,Sunny,Equipment_D,9,12.01,1,2023-01-01 22:01:00,4,DT2
C-172,2023-04-07,61.79,32.55,510.26,1.61,Cloudy,Equipment_C,1,9.89,1,2023-01-01 01:54:00,4,DT1
C-219,2023-10-17,36.0,39.86,531.17,8.53,Windy,Equipment_A,8,13.83,1,2023-01-01 08:24:00,2,HT1
C-100,2023-09-27,105.33,11.79,533.22,8.9,Rainy,Equipment_C,1,8.02,0,2023-01-01 07:51:00,1,BT2
C-016,2023-11-02,109.83,50.8,505.08,4.9,Rainy,Equipment_B,5,15.01,1,2023-01-01 08:51:00,4,MT1
C-087,2023-02-15,64.7,11.12,542.8,7.49,Cloudy,Equipment_B,5,15.26,0,2023-01-01 05:00:00,4,DT2
C-168,2023-11-16,51.44,40.37,568.82,7.96,Rainy,Equipment_C,2,3.83,0,2023-01-01 01:22:00,4,MT2
C-250,2023-12-29,93.55,35.04,482.75,4.17,Rainy,Equipment_A,1,7.12,0,2023-01-01 05:04:00,3,BT2
C-145,2023-01-20,32.77,10.2,584.46,9.6,Rainy,Equipment_C,1,12.38,1,2023-01-01 09:32:00,2,DT1
C-094,2023-04-07,24.21,56.25,506.57,3.91,Cloudy,Equipment_A,7,6.28,0,2023-01-01 17:34:00,4,BT1
C-111,2023-10-18,16.34,59.14,592.47,9.72,Windy,Equipment_B,1,19.78,0,2023-01-01 01:15:00,2,BT1
C-128,2023-10-06,105.79,56.19,502.48,7.91,Windy,Equipment_C,4,4.15,1,2023-01-01 00:40:00,1,DT3
C-193,2023-03-06,38.83,21.61,486.62,4.09,Sunny,Equipment_B,6,10.38,0,2023-01-01 15:55:00,1,DT1
C-108,2023-06-16,34.22,30.89,523.96,9.33,Cloudy,Equipment_A,5,11.31,1,2023-01-01 20:03:00,2,MT2
C-167,2023-11-17,58.48,7.88,494.13,3.07,Sunny,Equipment_C,1,4.8,1,2023-01-01 23:09:00,3,DT3
C-233,2023-08-28,35.54,59.93,564.31,2.11,Sunny,Equipment_D,4,8.67,0,2023-01-01 13:09:00,4,MT1
C-215,2023-05-27,36.91,18.27,498.79,4.95,Windy,Equipment_A,6,14.38,1,2023-01-01 14:15:00,2,HT1
C-198,2023-02-06,84.74,30.66,527.98,4.26,Windy,Equipment_A,5,15.03,1,2023-01-01 14:46:00,4,BT2
C-246,2023-03-14,96.72,27.9,583.39,5.77,Rainy,Equipment_A,5,4.39,1,2023-01-01 16:55:00,2,BT1
C-123,2023-06-13,43.72,41.23,505.24,3.86,Rainy,Equipment_C,2,4.01,1,2023-01-01 14:38:00,3,DT2
C-074,2023-04-02,38.74,40.98,526.11,2.14,Windy,Equipment_B,5,9.95,1,2023-01-01 18:49:00,4,DT2
C-181,2023-11-23,26.73,16.46,517.73,1.43,Rainy,Equipment_C,8,5.5,0,2023-01-01 07:27:00,4,DT1
C-238,2023-11-29,35.61,21.92,584.78,4.66,Windy,Equipment_C,3,10.1,0,2023-01-01 23:54:00,4,BT2
C-029,2023-03-05,40.63,8.81,485.61,3.43,Sunny,Equipment_C,7,16.64,1,2023-01-01 10:11:00,2,DT1
C-050,2023-01-25,85.59,53.03,523.41,4.5,Windy,Equipment_B,3,19.36,1,2023-01-01 00:16:00,1,BT2
C-154,2023-03-22,94.63,32.33,484.87,5.08,Sunny,Equipment_D,5,4.9,0,2023-01-01 23:10:00,3,MT1
C-220,2023-03-09,52.78,15.61,516.4,3.75,Rainy,Equipment_A,4,11.53,1,2023-01-01 15:45:00,1,DT3
C-012,2023-08-10,71.0,43.69,529.86,9.22,Cloudy,Equipment_A,7,14.41,1,2023-01-01 18:00:00,4,DT2
C-169,2023-10-29,17.55,37.0,590.96,2.82,Sunny,Equipment_D,5,11.1,0,2023-01-01 07:42:00,4,MT2
C-116,2023-11-25,33.35,54.22,493.99,3.14,Sunny,Equipment_D,2,2.14,0,2023-01-01 18:39:00,2,BT2
C-049,2023-06-07,64.27,49.88,502.45,2.91,Windy,Equipment_C,7,14.38,0,2023-01-01 20:25:00,2,DT2
C-016,2023-11-14,108.32,34.85,509.78,8.44,Rainy,Equipment_D,8,15.19,0,2023-01-01 21:49:00,2,MT1
C-050,2023-10-29,47.65,31.13,569.67,3.38,Rainy,Equipment_C,1,7.86,1,2023-01-01 10:45:00,2,BT2
C-016,2023-03-13,55.01,31.16,498.11,1.31,Cloudy,Equipment_A,1,2.93,1,2023-01-01 01:46:00,4,MT1
C-100,2023-09-06,38.82,41.48,511.91,3.08,Rainy,Equipment_C,8,11.17,0,2023-01-01 23:54:00,4,BT2
C-071,2023-01-12,118.39,43.05,552.13,4.03,Windy,Equipment_A,8,18.48,1,2023-01-01 05:46:00,2,HT1
C-133,2023-01-18,90.26,11.78,561.22,4.88,Windy,Equipment_B,2,9.4,0,2023-01-01 10:04:00,1,HT1
C-137,2023-10-07,87.95,32.49,571.79,6.82,Cloudy,Equipment_D,1,17.88,0,2023-01-01 09:33:00,1,DT3
C-066,2023-12-19,57.11,20.59,487.41,4.71,Cloudy,Equipment_D,8,16.56,1,2023-01-01 14:32:00,1,MT2
C-144,2023-05-10,100.57,36.04,484.65,9.71,Rainy,Equipment_B,5,4.83,0,2023-01-01 11:12:00,3,DT2
C-250,2023-06-21,82.0,16.2,488.4,9.63,Cloudy,Equipment_C,6,7.86,0,2023-01-01 10:02:00,4,BT2
C-045,2023-04-04,28.92,38.89,593.87,6.54,Windy,Equipment_A,1,10.83,1,2023-01-01 13:52:00,1,DT2
C-203,2023-05-20,119.23,50.18,598.26,6.56,Rainy,Equipment_C,8,1.18,0,2023-01-01 10:31:00,4,HT1
C-034,2023-08-01,50.86,38.12,542.91,3.8,Cloudy,Equipment_C,1,3.67,0,2023-01-01 09:40:00,3,HT1
C-044,2023-02-07,88.94,58.56,578.1,1.35,Cloudy,Equipment_C,7,2.27,1,2023-01-01 13:07:00,2,HT1
C-149,2023-10-17,87.64,12.18,580.42,7.26,Windy,Equipment_C,4,5.36,1,2023-01-01 17:26:00,4,BT1
C-187,2023-04-08,60.55,47.33,571.1,2.27,Sunny,Equipment_B,6,15.95,1,2023-01-01 22:08:00,3,MT1
C-116,2023-06-27,60.96,12.9,597.98,5.66,Windy,Equipment_B,1,18.77,0,2023-01-01 06:46:00,1,BT2
C-044,2023-08-29,70.4,40.83,587.44,1.98,Sunny,Equipment_C,5,17.64,1,2023-01-01 05:13:00,1,HT1
C-161,2023-07-30,113.3,37.98,527.49,9.32,Cloudy,Equipment_A,9,8.74,1,2023-01-01 21:36:00,4,BT2
C-065,2023-12-04,73.57,17.47,539.53,4.24,Rainy,Equipment_B,9,5.64,1,2023-01-01 22:37:00,2,HT1
C-147,2023-07-19,69.1,44.07,554.58,6.5,Sunny,Equipment_B,7,13.06,1,2023-01-01 22:46:00,1,BT1
C-177,2023-05-18,38.55,41.78,557.7,7.13,Sunny,Equipment_C,2,17.88,1,2023-01-01 01:45:00,4,MT1
C-055,2023-02-19,31.05,41.52,484.18,3.56,Sunny,Equipment_A,5,18.79,0,2023-01-01 14:55:00,4,HT1
C-119,2023-11-23,79.73,22.16,591.54,4.2,Sunny,Equipment_D,8,6.12,1,2023-01-01 06:41:00,1,MT1
C-237,2023-10-27,41.1,27.75,551.26,7.2,Windy,Equipment_A,9,1.0,0,2023-01-01 06:24:00,4,DT3
C-124,2023-11-03,96.68,54.71,593.95,5.47,Cloudy,Equipment_C,5,15.8,1,2023-01-01 23:37:00,4,HT1
C-186,2023-05-04,114.23,39.41,502.42,5.53,Sunny,Equipment_C,3,4.84,1,2023-01-01 03:51:00,3,BT2
C-042,2023-10-16,61.52,25.81,483.04,9.01,Rainy,Equipment_D,8,2.39,1,2023-01-01 03:08:00,1,MT1
C-062,2023-12-22,118.6,44.68,569.45,2.68,Rainy,Equipment_B,3,8.73,1,2023-01-01 02:38:00,2,MT2
C-053,2023-08-10,36.81,14.94,489.24,7.85,Sunny,Equipment_B,2,8.66,1,2023-01-01 19:35:00,3,BT2
C-086,2023-07-29,119.93,51.22,542.83,4.12,Sunny,Equipment_D,6,9.14,0,2023-01-01 20:29:00,2,MT2
C-100,2023-03-29,39.63,29.65,518.43,3.84,Sunny,Equipment_B,8,12.54,0,2023-01-01 14:32:00,1,BT2
C-156,2023-04-25,46.46,40.29,521.99,2.66,Rainy,Equipment_C,2,1.17,0,2023-01-01 18:01:00,4,BT1
