crew_id,join_date,experience_years,technical_knowledge_score,safety_procedures_score,equipment_operation_score,communication_score,leadership_score,problem_solving_score,emergency_response_score,quality_control_score,team_collaboration_score
C-103,2023-03-08,13.759838592188853,82,86,61,68,81,82,73,83,77
C-104,2023-03-25,6.139674855952319,77,79,74,96,79,66,71,87,81
C-105,2023-11-13,14.290337616920018,95,86,83,80,84,76,97,77,90
C-106,2023-02-09,4.495794411776476,97,74,88,100,76,86,82,100,74
C-107,2023-05-31,7.051546194523151,81,85,64,91,88,87,85,81,86
C-108,2023-08-02,6.901749129609665,73,98,78,85,69,84,91,71,86
C-109,2023-09-09,2.2037129746181736,65,70,74,83,95,76,73,83,83
C-110,2023-04-16,5.077410639946191,71,80,92,90,80,75,64,65,89
C-111,2023-05-15,9.296925646087667,100,99,95,82,89,97,79,85,90
C-112,2023-09-27,6.07648314151236,74,96,94,61,88,71,100,94,83
C-113,2023-12-31,4.488241024043366,72,67,96,67,95,60,60,88,98
C-114,2023-05-30,8.150228607158521,79,61,63,63,93,98,70,71,90
C-115,2023-08-15,13.738254528587388,60,80,78,65,74,83,90,82,94
C-116,2023-08-18,9.822133556346833,78,61,61,88,82,97,79,92,75
C-117,2023-12-02,1.6270650780634632,83,80,96,87,60,69,98,93,99
C-118,2023-09-15,7.412136927424232,91,69,62,76,71,87,76,100,93
C-119,2023-06-26,11.007221853424847,100,97,87,91,87,89,93,74,71
C-120,2023-04-15,10.152370537805302,65,74,79,98,70,81,72,73,91
C-121,2023-05-31,4.509500894899182,92,87,88,63,88,79,68,66,64
C-122,2023-03-25,10.101680323671276,63,86,73,64,77,75,81,70,67
C-123,2023-07-18,5.051498203415936,71,60,85,65,98,66,96,87,83
C-124,2023-07-20,11.373307328646684,66,88,90,72,75,66,70,91,98
C-125,2023-11-19,13.221636741779706,67,65,93,85,69,89,97,99,65
C-126,2023-03-19,1.05108930311841,75,67,83,64,61,87,96,66,67
C-127,2023-03-26,8.808046138534795,65,88,88,97,94,64,63,69,76
C-128,2023-10-10,9.35842162196444,70,79,70,98,64,77,77,89,70
C-129,2023-02-25,5.390349134201083,90,95,70,89,100,83,68,70,75
C-130,2023-12-01,1.867128414037198,64,95,84,100,70,96,88,75,82
C-131,2023-02-11,8.142668508297492,61,78,65,65,95,66,83,78,72
C-132,2023-09-12,7.906856469373227,71,80,91,84,83,92,66,78,96
C-133,2023-04-07,8.598711733191058,71,77,79,69,72,70,66,95,84
C-134,2023-03-23,6.712327887110276,100,74,82,74,62,75,87,92,78
C-135,2023-09-10,7.640518587902449,97,68,88,93,84,66,81,79,89
C-136,2023-12-23,13.215692399037177,74,74,79,71,77,80,73,80,61
C-137,2023-01-03,13.599539419393777,100,78,61,92,79,86,71,72,83
C-138,2023-12-30,11.110879739910104,73,73,67,63,97,90,72,61,91
C-139,2023-03-13,5.515473129838944,73,96,70,80,95,85,66,91,85
C-140,2023-06-30,6.271939792713778,96,90,63,80,87,66,75,66,85
C-141,2023-08-31,0.8915559294648756,79,87,71,88,95,92,76,83,93
C-142,2023-06-22,6.6313321904273925,69,71,64,94,66,77,69,90,61
C-143,2023-12-05,13.096519754798276,71,63,99,91,65,83,95,83,84
C-144,2023-08-26,13.313448855509943,78,63,70,94,98,92,100,81,91
C-145,2023-01-27,2.000411143152227,72,67,73,86,78,89,88,61,88
C-146,2023-03-04,8.895413034862207,79,64,68,85,81,77,96,95,100
C-147,2023-02-08,14.626994813993358,74,92,64,72,72,63,76,91,62
C-148,2023-05-19,8.92400918447058,98,62,84,71,64,82,76,69,74
C-149,2023-05-02,11.677959662236479,93,98,81,97,82,69,81,94,73
C-150,2023-11-27,4.239594390178677,73,84,67,73,68,93,66,71,94
C-151,2023-01-01,5.485179979437161,89,75,91,84,89,61,94,70,99
C-152,2023-10-10,5.208144349338038,81,64,71,67,73,97,60,92,99
C-153,2023-10-05,5.100403488625168,63,96,61,74,87,82,65,88,65
C-154,2023-05-04,1.3498972788856352,75,80,100,80,80,80,82,99,60
C-155,2023-04-23,10.753932141400677,70,97,86,96,89,93,66,83,78
C-156,2023-11-25,5.810713597547759,77,99,68,69,78,62,77,81,100
C-157,2023-07-20,9.357015070348845,71,84,99,64,99,81,65,92,82
C-158,2023-07-08,9.973840039823475,75,97,72,81,96,74,76,94,81
C-159,2023-07-13,6.345976244741821,81,67,74,85,90,84,98,84,95
C-160,2023-12-24,10.611083004773471,99,81,87,89,64,62,70,67,61
C-161,2023-05-20,5.892165260957726,79,95,72,74,89,69,76,87,99
C-162,2023-04-10,14.020859440551352,60,88,100,70,89,68,69,85,100
C-163,2023-01-07,6.281223425150454,66,60,73,88,78,96,87,84,61
C-164,2023-10-27,10.856665171965314,100,71,84,60,63,82,65,69,84
C-165,2023-12-18,5.2472508018931165,93,66,71,98,65,90,92,98,87
C-166,2023-04-16,11.220225634783139,100,74,94,90,96,62,89,90,68
C-167,2023-09-25,12.891921314853345,64,85,95,60,86,89,77,95,81
C-168,2023-04-03,2.2748311961542385,91,88,69,95,71,78,91,83,65
C-169,2023-05-23,8.794470060115993,69,85,88,90,96,84,67,87,72
C-170,2023-01-07,13.559561359299277,66,81,84,84,74,61,80,100,75
C-171,2023-05-08,5.518912467091736,69,64,94,96,75,65,83,71,79
C-172,2023-06-26,3.0447802876679,88,77,83,65,82,93,82,71,88
C-173,2023-05-04,10.052729383083964,74,69,97,61,94,83,61,72,83
C-174,2023-06-14,3.3156246774668343,61,95,83,98,93,61,94,95,61
C-175,2023-11-11,0.9827016619613408,86,96,81,64,75,81,98,75,76
C-176,2023-04-15,9.825778497573536,92,82,77,100,68,72,67,100,94
C-177,2023-11-09,13.87601080505792,93,81,89,80,61,81,99,81,64
C-178,2023-09-08,8.0585619465528,89,79,100,63,61,62,76,68,99
C-179,2023-04-13,11.369012160960839,94,89,61,81,88,82,62,65,66
C-180,2023-06-21,7.297824781490267,60,86,80,63,91,88,68,77,82
C-181,2023-05-03,13.602862338230436,61,83,87,75,76,61,79,61,70
C-182,2023-02-15,11.04049029237644,74,71,60,83,74,83,100,85,87
C-183,2023-12-05,8.257516223371846,74,96,65,82,85,79,61,82,71
C-184,2023-12-08,3.5776621372922257,68,63,89,84,89,96,76,70,100
C-185,2023-12-12,12.465180418221246,66,69,71,100,76,74,65,78,79
C-186,2023-04-11,3.2502750579205117,91,78,89,76,93,85,64,80,86
C-187,2023-11-06,2.2736555388141935,64,100,88,88,77,83,96,69,67
C-188,2023-02-07,7.106648051423827,74,99,73,72,93,67,100,94,77
C-189,2023-07-14,7.615251229618378,80,97,71,61,68,69,93,62,89
C-190,2023-11-27,6.274098774396536,93,88,86,82,87,91,72,73,79
C-191,2023-07-26,9.372967573588618,89,82,63,76,91,78,85,62,92
C-192,2023-07-18,9.429174066622256,65,70,66,75,70,92,67,77,100
C-193,2023-01-13,3.593961098819961,95,83,68,70,61,88,76,69,65
C-194,2023-03-20,12.113135195748836,76,72,72,82,99,87,70,80,72
C-195,2023-07-19,2.6566896476268873,80,76,72,80,64,86,70,71,73
C-196,2023-02-23,1.3017397208684942,85,71,88,78,75,100,72,64,86
C-197,2023-06-22,9.04852533281834,66,82,77,96,77,65,66,98,97
C-198,2023-06-17,8.121691650486113,93,79,85,62,64,64,72,66,80
C-199,2023-04-22,5.886242797753533,93,95,85,78,91,62,61,81,68
C-200,2023-03-20,5.023705335139743,71,100,66,68,86,88,73,73,62
C-201,2023-12-24,11.386868921846713,91,75,83,89,86,67,95,68,64
C-202,2023-01-09,5.9340120975033965,92,76,79,60,98,65,79,95,99
C-203,2023-12-07,13.183075356279257,98,78,84,95,61,83,77,77,62
C-204,2023-01-24,4.944088999817458,60,70,75,93,83,97,94,93,83
C-205,2023-12-18,11.027636910325297,93,78,90,71,89,74,74,70,82
C-206,2023-07-12,14.07629540627946,92,85,75,63,74,98,78,76,77
C-207,2023-12-11,0.9065940304501146,89,64,67,62,62,85,94,86,80
C-208,2023-11-27,9.298406365475223,92,90,80,73,72,100,76,65,78
C-209,2023-10-15,1.9630171057072872,84,96,93,92,82,95,66,66,60
C-210,2023-06-08,12.024085340653563,67,97,80,95,61,98,76,83,85
C-211,2023-01-14,13.956413048785267,78,87,68,98,89,81,63,81,84
C-212,2023-01-07,7.772989438430771,61,84,78,97,94,76,64,81,98
C-213,2023-08-18,2.467107388181936,97,62,94,90,80,80,98,67,83
C-214,2023-04-06,6.9416661618179605,60,91,72,91,83,75,60,65,67
C-215,2023-10-29,6.955323931394686,95,85,75,78,90,71,91,77,98
C-216,2023-03-11,3.6876186545016685,69,88,70,90,60,98,60,63,89
C-217,2023-07-27,13.662803406632165,96,77,96,96,88,74,78,88,94
C-218,2023-03-17,4.168520983113071,68,61,73,73,96,83,86,66,67
C-219,2023-12-26,2.019128155953103,62,73,84,79,86,76,81,75,63
C-220,2023-11-08,10.136934059617449,80,85,71,90,80,80,77,70,88
C-221,2023-11-29,13.783908380264702,74,80,62,75,100,63,70,100,95
C-222,2023-08-10,11.824665879552855,100,95,98,65,80,74,91,87,95
C-223,2023-12-17,9.264247370706197,90,67,81,71,95,91,64,92,68
C-224,2023-03-18,6.751393029419167,82,95,94,75,84,80,71,99,71
C-225,2023-08-03,4.599621408066216,83,67,75,65,85,75,60,90,79
C-226,2023-02-01,14.303586306603087,98,73,66,61,86,79,99,83,77
C-227,2023-06-27,8.422425003966008,94,72,60,78,95,90,86,87,82
C-228,2023-04-05,5.840251770750291,64,95,89,100,91,70,93,77,84
C-229,2023-06-18,9.349468177733378,64,83,63,99,81,66,89,85,77
C-230,2023-04-13,2.047150175360417,75,80,65,76,67,76,70,99,85
C-231,2023-08-27,7.022089769488639,90,95,87,96,83,82,100,87,63
C-232,2023-06-09,4.360963824672783,67,92,68,71,73,83,72,64,78
C-233,2023-03-10,13.697428838042216,100,61,67,87,64,83,72,76,83
C-234,2023-06-30,10.905901863938743,76,76,91,96,85,96,93,100,90
C-235,2023-03-05,6.05918452542995,71,77,63,99,74,98,76,77,85
C-236,2023-08-01,12.46550504171126,68,62,70,80,80,83,91,89,71
C-237,2023-08-20,5.463552859413551,65,66,61,78,70,100,68,69,79
C-238,2023-05-30,5.636540858352483,90,76,92,64,69,77,77,71,63
C-239,2023-04-13,5.0361473610977825,100,82,97,67,97,95,77,77,91
C-240,2023-07-12,5.349480130679847,91,84,100,86,68,96,76,96,85
C-241,2023-09-11,3.062536480296356,72,60,73,73,79,72,76,100,63
C-242,2023-07-12,12.27632748474958,92,80,95,92,73,88,75,61,92
C-243,2023-02-18,1.128515943092171,72,84,83,73,89,65,94,83,73
C-244,2023-05-14,3.675757358265255,64,87,86,94,67,84,65,70,89
C-245,2023-10-31,6.10610932708493,80,74,71,75,76,63,67,85,68
C-246,2023-02-28,8.832598296193089,99,92,65,60,73,80,60,77,86
C-247,2023-05-17,4.175456786049655,94,82,83,95,83,83,82,74,83
C-248,2023-07-21,2.1865910884379725,100,67,62,85,64,92,62,64,68
C-249,2023-05-16,3.060066531264851,100,78,83,98,69,87,74,63,75
C-250,2023-02-04,14.309484500453333,79,71,79,73,60,68,98,89,69
C-251,2023-12-17,4.325195989299128,69,65,76,63,82,97,84,75,88
C-252,2023-04-01,1.7656980474344013,62,72,68,70,64,69,100,90,68
C-253,2023-10-20,2.9365799351646413,96,80,72,71,78,76,62,99,90
C-254,2023-07-31,8.077605023543935,88,85,99,61,78,62,82,75,69
C-255,2023-06-06,1.5237247565064753,76,65,87,73,100,65,68,67,100
C-256,2023-06-20,2.0312075135844623,95,92,87,97,60,85,76,76,86
C-257,2023-01-17,11.069839261128442,99,72,71,80,61,63,64,76,95
C-258,2023-07-31,6.477526504151815,75,71,77,64,93,96,67,81,69
C-259,2023-09-14,13.92039012042134,64,61,64,97,100,61,97,72,71
C-260,2023-03-26,8.055117411498479,88,70,85,89,74,93,87,79,71
C-261,2023-01-12,11.666643510635193,68,86,70,100,97,87,66,84,85
C-262,2023-12-10,7.647614545121208,61,91,90,86,64,89,60,78,99
C-263,2023-09-02,10.645983618990751,63,94,77,93,68,92,76,91,69
C-264,2023-11-04,8.130259996039367,72,61,89,95,84,68,76,89,88
C-265,2023-05-30,7.940969037537461,79,74,99,100,88,67,95,62,77
C-266,2023-11-21,11.255993951388076,74,63,70,85,99,100,73,94,67
C-267,2023-07-28,12.788778606256793,67,71,82,71,79,84,100,61,76
C-268,2023-04-30,6.633544262293042,100,79,95,65,66,73,75,69,79
C-269,2023-09-25,5.019214220497001,87,75,70,80,88,69,67,77,62
C-270,2023-03-11,8.48918491473895,89,94,88,88,65,76,66,99,72
C-271,2023-04-23,11.132162107769581,64,87,97,84,86,69,96,79,85
C-272,2023-03-20,6.051161992061041,73,90,72,87,72,64,83,91,94
C-273,2023-07-28,11.684470662348106,68,78,84,100,64,67,99,98,66
C-274,2023-06-24,8.23140302953573,81,97,75,86,60,71,67,89,91
C-275,2023-02-04,9.261207975913479,82,100,88,99,88,65,63,90,87
C-276,2023-05-03,1.2404215807324621,86,71,68,98,90,79,91,69,83
C-277,2023-11-15,4.40710255691671,90,89,61,92,68,68,67,94,91
C-278,2023-06-21,13.214948441141885,83,87,79,100,95,97,83,79,74
C-279,2023-04-23,1.9272954314155246,71,69,92,97,80,100,70,62,87
C-280,2023-05-18,6.014261270819711,80,77,89,62,95,88,68,74,69
C-281,2023-11-17,0.7625223228824005,74,65,85,87,86,89,80,91,61
C-282,2023-11-09,2.791049129085256,63,64,72,68,62,60,91,99,81
C-283,2023-01-05,8.310421607891731,93,92,72,75,68,76,87,85,76
C-284,2023-12-06,6.652776670292763,94,79,70,91,85,64,87,73,82
C-285,2023-02-25,13.142725955945094,64,87,91,63,71,95,61,66,76
C-286,2023-08-06,8.44351796237125,100,89,89,62,81,86,83,99,99
C-287,2023-06-25,4.332032378349652,88,68,76,82,75,80,61,87,86
C-288,2023-11-28,6.190018724745213,88,92,65,71,94,77,83,92,98
C-289,2023-12-21,0.507292842962173,96,70,60,61,91,91,66,76,91
C-290,2023-11-19,12.209097631335867,78,74,62,94,89,72,64,87,77
C-291,2023-04-01,5.674605371876751,72,82,78,81,82,80,68,85,65
C-292,2023-09-15,11.59048156610336,78,93,81,67,93,86,61,87,81
C-293,2023-08-06,9.991881102167643,73,68,74,89,62,91,63,78,85
C-294,2023-01-17,7.90224187993885,88,69,76,78,84,98,63,70,67
C-295,2023-06-06,0.9733404532071643,81,83,82,61,92,62,62,77,61
C-296,2023-10-20,14.493990484398447,60,64,69,92,87,72,99,68,68
C-297,2023-02-21,2.1409261717493275,99,62,65,80,94,62,61,77,80
C-298,2023-09-02,8.032619030224671,68,74,75,85,73,92,82,80,69
C-299,2023-12-14,7.080489102178896,95,72,93,100,85,76,82,88,96
C-300,2023-05-22,7.478834016897452,98,90,68,92,75,79,70,65,89
C-301,2023-11-11,0.6716032194015931,87,92,77,79,97,74,69,65,64
C-302,2023-11-09,8.967880415591528,83,89,67,79,63,99,100,68,69
C-303,2023-06-23,11.041993113273788,61,87,65,91,75,81,60,78,71
C-304,2023-04-01,12.773749015602393,83,99,98,60,63,73,68,96,74
C-305,2023-08-03,3.964042416588177,78,73,74,81,76,62,78,84,68
C-306,2023-03-03,6.381267332928944,62,100,98,98,87,87,68,100,80
C-307,2023-01-25,5.694175861925466,63,80,91,87,72,72,70,81,87
C-308,2023-06-19,14.702117879970269,95,96,75,60,73,87,62,89,95
C-309,2023-01-28,5.4468211732351595,90,72,79,99,67,71,77,62,69
C-310,2023-10-15,13.91149732767242,92,82,98,98,96,66,74,72,64
C-311,2023-10-30,8.384706540475307,80,87,81,81,90,89,88,98,99
C-312,2023-03-01,12.654027286780153,62,97,79,75,63,69,98,71,72
C-313,2023-01-17,8.159344905121838,90,75,74,61,94,100,62,88,68
C-314,2023-12-13,9.831722906404517,86,93,73,90,77,66,65,88,90
C-315,2023-03-26,7.4377806879169155,76,94,86,78,68,97,97,100,80
C-316,2023-08-05,13.542376685928689,78,94,82,80,73,62,93,97,81
C-317,2023-11-04,8.239968767559853,70,75,99,96,70,77,98,96,70
C-318,2023-02-02,12.534084258280942,74,83,68,77,65,98,75,96,99
C-319,2023-01-22,10.154779148042556,82,72,100,63,68,61,61,95,79
C-320,2023-05-03,12.36934461818281,90,100,86,77,63,74,92,92,61
C-321,2023-07-02,10.970292390811268,61,99,92,65,60,94,72,80,94
C-322,2023-12-24,10.189093242502684,78,73,66,63,74,91,66,92,82
C-323,2023-09-09,8.717498641058585,83,68,98,100,63,77,61,91,60
C-324,2023-03-27,13.29753229583786,82,100,65,69,93,60,80,61,63
C-325,2023-12-24,5.783683003608661,82,96,65,66,87,85,75,94,96
C-326,2023-08-01,8.271349817852329,91,64,98,96,71,60,79,70,91
C-327,2023-05-19,1.4289828814449392,78,95,88,92,74,81,85,98,100
C-328,2023-03-14,6.534661888685125,87,98,88,89,61,97,94,63,85
C-329,2023-02-19,7.816841109309949,72,95,60,67,64,71,77,75,61
C-330,2023-02-16,9.59893258760923,89,64,75,82,66,92,100,88,88
C-331,2023-12-17,4.823052362257035,74,61,77,71,72,72,87,71,61
C-332,2023-11-28,9.817284524995252,72,90,72,78,76,75,97,80,82
C-333,2023-04-07,5.887590785048427,74,68,91,100,75,95,82,96,73
C-334,2023-05-15,9.389906862763203,87,93,81,91,89,71,69,60,72
C-335,2023-07-21,14.720559042564204,95,96,86,92,88,96,84,66,84
C-336,2023-10-08,11.92708303510463,89,89,83,64,88,89,67,95,77
C-337,2023-04-12,3.690634351155716,96,83,97,63,64,80,84,86,91
C-338,2023-01-20,11.467419568920524,82,60,95,83,70,78,60,83,73
C-339,2023-07-15,8.670379491911286,60,86,68,89,86,87,80,84,87
C-340,2023-01-03,4.52374467853763,75,73,79,78,66,86,80,65,92
C-341,2023-06-13,12.326804077450037,62,74,94,60,75,95,77,71,91
C-342,2023-12-28,8.363492222035855,71,77,82,84,93,86,67,93,72
C-343,2023-04-16,7.087333647689351,93,95,98,90,99,80,63,95,61
C-344,2023-06-17,10.841630393312094,98,71,66,100,97,77,83,68,82
C-345,2023-04-08,7.708881596887048,94,80,86,92,94,81,99,78,90
C-346,2023-02-06,3.738079895474386,63,60,78,67,94,69,97,70,92
C-347,2023-01-23,6.806745375408456,68,89,70,72,62,77,61,60,98
C-348,2023-08-28,4.9990339280996965,88,60,87,81,66,81,65,83,66
C-349,2023-02-04,0.5619369517553172,62,62,86,69,62,79,88,94,74
C-350,2023-05-27,6.799000496277903,83,91,91,92,66,82,83,68,88
C-351,2023-10-16,5.513055877848724,84,74,69,85,98,86,90,91,75
C-352,2023-05-29,13.660858710107549,65,88,95,77,60,92,61,85,63
C-353,2023-11-20,12.329503246550392,74,98,75,64,83,91,86,92,82
C-354,2023-10-06,8.784329615871068,63,92,90,80,84,96,60,62,67
C-355,2023-08-18,7.21697244499595,75,82,78,75,84,72,89,98,78
C-356,2023-08-20,10.190572673973364,60,86,73,81,100,70,79,91,60
C-357,2023-10-01,4.559518198450659,89,81,78,60,100,66,78,83,90
C-358,2023-01-25,13.345893617041467,80,100,97,91,76,61,85,99,75
C-359,2023-07-06,2.3448701299997534,94,87,98,100,77,73,76,81,93
C-360,2023-08-14,5.308697258739638,76,91,90,72,63,97,87,84,75
C-361,2023-10-04,5.08016640939964,69,60,63,74,85,97,66,89,89
C-362,2023-08-15,11.562907372389917,62,100,63,71,75,62,61,84,83
C-363,2023-07-12,9.529414234287476,84,77,72,74,74,66,87,64,74
C-364,2023-02-10,6.299732100790163,77,63,67,66,89,95,96,76,74
C-365,2023-01-25,14.730444317531713,69,96,97,74,70,73,69,88,71
C-366,2023-09-03,12.332050652567958,68,92,95,72,72,86,91,83,87
C-367,2023-11-16,11.473524703471556,87,94,94,65,61,94,70,95,90
C-368,2023-09-08,12.741271065922312,83,80,90,95,80,87,96,88,82
C-369,2023-01-03,13.111310234063293,79,76,75,71,71,88,99,86,76
C-370,2023-06-30,5.454128994542578,72,65,83,73,66,79,92,99,63
C-371,2023-09-22,7.872878734717637,89,75,83,73,94,90,91,97,98
C-372,2023-04-30,3.3079094517731864,75,76,88,99,65,93,62,93,84
