task_ID,Floor_No,Gate_number,Criticality,Number_of_Personnel
T-012,1,1,1,8
T-012,1,2,1,8
T-012,1,3,1,8
T-012,1,4,1,8
T-012,1,5,1,8
T-012,1,6,1,8
T-012,1,7,1,8
T-012,1,8,1,8
T-012,1,9,1,8
T-012,1,10,1,8
T-012,1,11,1,8
T-012,1,12,1,8
T-013,0,0,2,51
T-013,1,1,2,12
T-013,1,2,2,12
T-013,1,3,2,12
T-013,1,4,2,12
T-013,1,5,2,12
T-013,1,6,2,12
T-013,1,7,2,12
T-013,1,8,2,12
T-013,1,9,2,12
T-013,1,10,2,12
T-013,1,11,2,12
T-013,1,12,2,12
T-014,0,0,1,52
T-014,1,1,1,16
T-014,1,2,1,16
T-014,1,3,1,16
T-014,1,4,1,16
T-014,1,5,1,16
T-014,1,6,1,16
T-014,1,7,1,16
T-014,1,8,1,16
T-014,1,9,1,16
T-014,1,10,1,16
T-014,1,11,1,16
T-014,1,12,1,16
T-015,0,0,1,49
T-015,1,1,1,4
T-015,1,2,1,4
T-015,1,3,1,4
T-015,1,4,1,4
T-015,1,5,1,4
T-015,1,6,1,4
T-015,1,7,1,4
T-015,1,8,1,4
T-015,1,9,1,4
T-015,1,10,1,4
T-015,1,11,1,4
T-015,1,12,1,4
T-016,0,0,3,50
T-016,1,1,3,4
T-016,1,2,3,4
T-016,1,3,3,4
T-016,1,4,3,4
T-016,1,5,3,4
T-016,1,6,3,4
T-016,1,7,3,4
T-016,1,8,3,4
T-016,1,9,3,4
T-016,1,10,3,4
T-016,1,11,3,4
T-016,1,12,3,4
T-017,0,0,2,47
T-017,1,1,2,8
T-017,1,2,2,8
T-017,1,3,2,8
T-017,1,4,2,8
T-017,1,5,2,8
T-017,1,6,2,8
T-017,1,7,2,8
T-017,1,8,2,8
T-017,1,9,2,8
T-017,1,10,2,8
T-017,1,11,2,8
T-017,1,12,2,8
T-018,0,0,3,56
T-018,1,1,3,4
T-018,1,2,3,4
T-018,1,3,3,4
T-018,1,4,3,4
T-018,1,5,3,4
T-018,1,6,3,4
T-018,1,7,3,4
T-018,1,8,3,4
T-018,1,9,3,4
T-018,1,10,3,4
T-018,1,11,3,4
T-018,1,12,3,4
T-019,0,0,1,49
T-019,1,1,1,4
T-019,1,2,1,4
T-019,1,3,1,4
T-019,1,4,1,4
T-019,1,5,1,4
T-019,1,6,1,4
T-019,1,7,1,4
T-019,1,8,1,4
T-019,1,9,1,4
T-019,1,10,1,4
T-019,1,11,1,4
T-019,1,12,1,4
