Task_ID,Gate_number,Floor_No,Shift_no,Actual,Predicted
T-016,22,2,3,1.0,2.0
T-007,12,3,2,2.0,2.0
T-001,15,3,1,-2.0,-1.0
T-015,5,3,2,-2.0,-1.0
T-011,37,2,2,0.0,0.0
T-016,3,3,4,-2.0,-1.0
T-013,46,1,4,-1.0,-1.0
T-007,35,2,1,1.0,2.0
T-005,31,2,2,-1.0,-1.0
T-016,20,2,3,3.0,3.0
T-002,26,2,4,-2.0,-1.0
T-013,44,1,4,4.0,3.0
T-014,7,3,3,-1.0,-1.0
T-012,7,3,2,0.0,0.0
T-001,46,1,4,2.0,1.0
T-009,20,2,3,3.0,2.0
T-009,39,2,1,-2.0,-2.0
T-008,9,3,3,-2.0,-1.0
T-015,11,3,3,-2.0,-1.0
T-007,6,3,3,1.0,1.0
T-009,9,3,3,0.0,1.0
T-007,1,3,4,3.0,1.0
T-015,5,3,1,1.0,0.0
T-004,30,2,3,1.0,1.0
T-005,47,1,3,0.0,0.0
T-003,20,2,4,3.0,2.0
T-006,46,1,2,-1.0,0.0
T-010,47,1,1,-1.0000000000000002,-1.0
T-008,20,2,2,1.0,1.0
T-007,46,1,4,-2.0,-2.0
T-013,1,3,1,-2.0,-1.0
T-014,22,2,1,-1.0,-0.0
T-017,40,1,3,2.0,2.0
T-011,20,2,4,3.0,2.0
T-014,45,1,3,-2.0,-1.0
T-002,26,2,3,-2.0,-1.0
T-008,21,2,1,0.0,-0.0
T-004,33,2,1,-2.0,-1.0
T-002,23,2,3,2.0,2.0
T-016,43,1,4,1.0,1.0
T-016,24,2,1,0.0,1.0
T-008,11,3,3,-2.0,-2.0
T-014,17,3,2,-2.0,-1.0
T-017,17,3,1,3.0000000000000004,2.0
T-014,27,2,4,4.0,3.0
T-003,32,2,1,3.0,1.0
T-003,40,1,1,1.0,-0.0
T-009,17,3,2,0.0,0.0
T-014,25,2,3,-2.0,-1.0
T-007,38,2,4,0.0,1.0
T-017,27,2,2,0.0,-0.0
T-017,0,1,4,-1.0000000000000002,-1.0
T-012,19,3,1,2.0,1.0
T-002,30,2,2,-2.0,-1.0
T-008,36,2,2,2.0,1.0
T-011,29,2,2,1.0,0.0
T-004,11,3,2,1.0,-0.0
T-010,5,3,4,4.0,2.0
T-014,20,2,1,1.0,1.0
T-008,42,1,2,-1.0,-1.0
T-016,11,3,2,-2.0,-1.0
T-012,48,1,1,0.0,0.0
T-010,26,2,3,-1.0,-0.0
T-014,3,3,1,1.0,0.0
T-012,43,1,4,-1.0,-1.0
T-014,48,1,4,1.0,0.0
T-008,34,2,1,-2.0,-2.0
T-006,43,1,2,-1.0000000000000002,-0.0
T-014,32,2,2,0.0,-0.0
T-016,17,3,4,1.0,0.0
T-013,32,2,3,-1.0,0.0
T-011,34,2,3,0.0,-0.0
T-013,44,1,2,-2.0,-1.0
T-017,46,1,1,1.0,0.0
T-014,43,1,4,4.0,1.0
T-016,44,1,2,3.0,1.0
T-001,35,2,4,-2.0,-1.0
T-016,42,1,3,-1.0000000000000002,0.0
T-016,22,2,3,2.0,1.0
T-012,13,3,3,-1.0000000000000002,-0.0
T-007,31,2,2,2.0,2.0
T-001,22,2,1,2.0,0.0
T-010,19,3,4,1.0,0.0
T-011,2,3,4,0.0,0.0
T-009,27,2,3,-2.0,-1.0
T-008,49,1,4,-2.0,-1.0
T-005,29,2,1,-2.0,-1.0
T-017,6,3,4,-2.0,-1.0
T-015,3,3,1,-1.0000000000000002,-1.0
T-005,11,3,4,2.0,1.0
T-001,2,3,4,-2.0,-1.0
T-006,2,3,3,0.0,1.0
T-008,45,1,2,0.0,-1.0
T-005,14,3,3,-2.0,-0.0
T-002,42,1,2,0.0,0.0
T-011,3,3,4,1.0,1.0
T-003,26,2,1,2.0,1.0
T-012,36,2,3,-1.0000000000000002,-0.0
T-013,7,3,2,0.0,0.0
T-009,8,3,3,-2.0,-1.0
T-008,49,1,3,2.0,1.0
T-015,25,2,4,0.0,-1.0
T-004,45,1,4,-2.0,-2.0
T-016,29,2,1,1.0,1.0
T-013,16,3,2,0.0,-0.0
T-016,40,1,1,3.0,3.0
T-013,17,3,2,-1.0000000000000002,0.0
T-011,46,1,1,2.0,2.0
T-013,6,3,3,3.0,2.0
T-008,23,2,4,2.0,2.0
T-004,49,1,1,0.0,1.0
T-010,32,2,2,0.0,-0.0
T-007,37,2,2,0.0,-1.0
T-005,0,1,1,-1.0,0.0
T-001,22,2,1,0.0,0.0
T-006,28,2,4,-2.0,-1.0
T-013,39,2,3,-2.0,-1.0
T-003,31,2,3,-1.0,-0.0
T-010,34,2,2,-2.0,-0.0
T-004,15,3,3,-2.0,-1.0
T-001,4,3,1,-2.0,-1.0
T-007,13,3,2,-2.0,-0.0
T-010,48,1,1,2.0,2.0
T-005,47,1,3,-1.0,0.0
T-015,29,2,3,2.0,0.0
T-013,32,2,3,3.0000000000000004,2.0
T-001,17,3,3,2.0,1.0
T-016,3,3,3,1.0,1.0
T-017,15,3,1,1.0,0.0
T-014,42,1,1,-1.0000000000000002,-1.0
T-003,33,2,3,0.0,1.0
T-005,31,2,1,3.0,3.0
T-006,24,2,2,-2.0,-1.0
T-005,31,2,2,-1.0,-0.0
T-002,8,3,1,1.0,2.0
T-015,25,2,2,-1.0,0.0
T-001,49,1,1,1.0,1.0
T-004,5,3,1,-2.0,-1.0
T-014,10,3,2,1.0,2.0
T-005,24,2,1,-1.0000000000000002,0.0
T-009,19,3,2,0.0,1.0
T-009,26,2,2,3.0,2.0
T-005,11,3,4,-1.0,0.0
T-016,8,3,3,1.0,0.0
T-013,13,3,4,1.0,0.0
T-009,20,2,2,3.0,2.0
T-009,9,3,1,1.0,0.0
T-001,15,3,2,0.0,-0.0
T-006,24,2,2,0.0,1.0
T-011,49,1,2,5.0,3.0
T-005,20,2,1,-2.0,-0.0
T-014,48,1,2,1.0,2.0
T-014,27,2,4,1.0,1.0
T-013,12,3,4,2.0,0.0
T-010,44,1,1,-2.0,-1.0
T-001,38,2,3,-2.0,-2.0
T-010,11,3,2,3.0,3.0
T-003,9,3,1,0.0,-1.0
T-017,33,2,2,-1.0000000000000002,-0.0
T-007,37,2,3,1.0,1.0
T-007,19,3,1,0.0,0.0
T-007,37,2,4,-2.0,-1.0
T-009,37,2,1,-2.0,-1.0
T-011,7,3,1,0.0,0.0
T-006,32,2,1,2.0,0.0
T-010,22,2,1,4.0,3.0
T-001,25,2,3,-2.0,-1.0
T-004,48,1,4,1.0,1.0
T-007,19,3,3,1.0,2.0
T-003,40,1,1,3.0000000000000004,1.0
T-005,18,3,2,-1.0000000000000002,-0.0
T-015,25,2,4,0.0,0.0
T-014,35,2,3,0.0,1.0
T-013,5,3,3,-2.0,-1.0
T-014,5,3,2,1.0,-0.0
T-008,32,2,4,-2.0,-1.0
T-013,27,2,3,-2.0,-1.0
T-012,25,2,3,0.0,0.0
T-013,38,2,3,2.0,1.0
T-014,43,1,1,0.0,0.0
T-001,26,2,1,-2.0,-1.0
T-009,0,1,1,1.0,2.0
T-017,35,2,2,-1.0000000000000002,0.0
T-007,28,2,4,2.0,0.0
T-003,21,2,2,2.0,1.0
T-004,29,2,1,1.0,0.0
T-002,14,3,1,3.0,3.0
T-013,34,2,4,2.0,2.0
T-003,47,1,2,-1.0,0.0
T-015,22,2,4,-2.0,-1.0
T-007,42,1,4,3.0,1.0
T-005,32,2,2,2.0,0.0
T-008,29,2,2,2.0,2.0
T-006,43,1,3,1.0,-0.0
T-014,37,2,4,3.0,2.0
T-012,32,2,4,-2.0,-2.0
T-015,1,3,2,-1.0,-1.0
T-016,46,1,4,2.0,2.0
T-006,38,2,4,3.0,1.0
T-012,15,3,3,-1.0000000000000002,-0.0
T-012,26,2,2,-2.0,-1.0
T-001,42,1,3,2.0,2.0
T-002,39,2,2,0.0,-0.0
T-007,19,3,4,1.0,2.0
T-015,6,3,2,2.0,3.0
T-010,15,3,3,0.0,-0.0
T-009,23,2,4,0.0,-0.0
T-015,10,3,3,-2.0,-1.0
T-010,20,2,1,0.0,0.0
T-010,34,2,4,-2.0,-1.0
T-007,30,2,4,-2.0,-2.0
T-002,4,3,4,-1.0000000000000002,-1.0
T-014,29,2,4,-2.0,-1.0
T-011,45,1,2,1.0,-0.0
T-002,25,2,3,-1.0,0.0
T-003,47,1,1,0.0,0.0
T-001,2,3,3,-2.0,-1.0
T-001,29,2,3,-2.0,-1.0
T-002,17,3,1,0.0,0.0
T-010,37,2,4,0.0,-0.0
T-007,24,2,3,1.0,0.0
T-012,42,1,2,1.0,1.0
T-010,37,2,1,0.0,-0.0
T-005,15,3,3,-2.0,-1.0
T-015,3,3,1,-2.0,-1.0
T-002,44,1,4,1.0,0.0
T-006,6,3,1,1.0,1.0
T-006,5,3,2,3.0,2.0
T-015,18,3,1,-1.0000000000000002,-0.0
T-016,10,3,4,-2.0,-1.0
T-017,9,3,1,3.0,3.0
T-012,25,2,4,1.0,2.0
T-012,0,1,2,0.0,1.0
T-009,34,2,4,3.0,1.0
T-006,45,1,3,-1.0000000000000002,0.0
T-006,43,1,2,0.0,0.0
T-005,13,3,2,4.0,2.0
T-002,2,3,4,-1.0000000000000002,-0.0
T-005,5,3,2,1.0,-0.0
T-005,2,3,2,-1.0000000000000002,0.0
T-004,3,3,2,1.0,-0.0
T-010,23,2,1,2.0,0.0
T-016,20,2,4,3.0,2.0
T-017,43,1,3,-2.0,-0.0
T-017,40,1,1,-1.0,-0.0
T-017,30,2,1,4.0,3.0
T-005,17,3,1,-2.0,-1.0
T-003,47,1,2,-1.0,0.0
T-010,15,3,2,0.0,1.0
T-016,33,2,1,3.0,2.0
T-010,39,2,2,-1.0,-0.0
T-006,21,2,1,-1.0000000000000002,-0.0
T-001,17,3,2,3.0000000000000004,2.0
T-006,29,2,4,-2.0,-1.0
T-015,25,2,4,-2.0,-1.0
T-013,47,1,4,-2.0,-2.0
T-004,38,2,1,-1.0,0.0
T-004,37,2,2,0.0,-1.0
T-009,7,3,3,-2.0,-1.0
T-006,22,2,4,0.0,-0.0
T-002,0,1,1,-2.0,-1.0
T-003,37,2,1,-1.0,1.0
T-010,47,1,3,1.0,0.0
T-007,4,3,4,-1.0,-0.0
T-016,45,1,3,-1.0000000000000002,-1.0
T-015,7,3,4,-1.0,-0.0
T-006,11,3,4,5.0,3.0
T-001,26,2,3,3.0,2.0
T-017,36,2,2,1.0,0.0
T-012,9,3,2,2.0,3.0
T-004,18,3,3,-2.0,-2.0
T-008,12,3,3,1.0,0.0
T-009,47,1,4,0.0,-0.0
T-016,40,1,4,2.0,3.0
T-006,41,1,1,-2.0,-1.0
T-012,14,3,2,4.0,3.0
T-004,9,3,4,2.0,2.0
T-012,28,2,3,-2.0,-0.0
T-008,19,3,3,-2.0,-1.0
T-010,3,3,1,3.0,3.0
T-016,21,2,4,-2.0,-1.0
T-005,29,2,3,-1.0000000000000002,-1.0
T-013,16,3,3,-1.0000000000000002,-1.0
T-002,49,1,3,0.0,0.0
T-017,41,1,3,-2.0,-1.0
T-013,4,3,2,-1.0,-1.0
T-004,7,3,1,-2.0,-1.0
T-010,34,2,2,1.0,0.0
T-005,36,2,1,2.0,1.0
T-008,3,3,3,3.0,2.0
T-008,5,3,3,1.0,-0.0
T-007,21,2,1,-2.0,-1.0
T-008,1,3,2,2.0,2.0
T-015,25,2,2,-2.0,-0.0
T-012,39,2,4,-1.0000000000000002,-0.0
T-009,15,3,2,0.0,0.0
T-011,37,2,3,-2.0,-1.0
T-015,31,2,2,0.0,-0.0
T-004,16,3,3,0.0,0.0
T-002,4,3,2,0.0,0.0
T-005,11,3,2,-2.0,-1.0
T-014,22,2,4,3.0,2.0
T-011,38,2,4,-1.0,-1.0
T-016,12,3,1,-1.0,-1.0
T-015,23,2,4,-2.0,-1.0
T-009,33,2,2,1.0,-0.0
T-013,34,2,1,2.0,2.0
T-014,5,3,4,1.0,1.0
T-008,31,2,3,-2.0,-1.0
T-014,10,3,2,-1.0,0.0
T-012,22,2,2,1.0,0.0
T-005,20,2,2,-2.0,-2.0
T-016,17,3,3,0.0,1.0
T-001,42,1,1,-2.0,-1.0
T-009,23,2,3,3.0,2.0
T-012,25,2,4,2.0,1.0
T-013,48,1,1,0.0,-1.0
T-014,12,3,3,5.0,4.0
T-012,18,3,1,0.0,1.0
T-015,34,2,1,0.0,0.0
T-007,3,3,1,-2.0,-1.0
T-017,21,2,4,-2.0,-1.0
T-007,34,2,2,-2.0,-1.0
T-012,46,1,3,1.0,1.0
T-005,7,3,1,0.0,-0.0
T-002,5,3,4,4.0,3.0
T-013,31,2,4,2.0,1.0
T-006,34,2,1,1.0,0.0
T-006,49,1,1,-1.0000000000000002,0.0
T-009,42,1,4,1.0,1.0
T-001,21,2,1,-1.0,0.0
T-009,21,2,4,-2.0,-1.0
T-002,42,1,2,1.0,0.0
T-010,4,3,3,-2.0,-0.0
T-017,0,1,2,1.0,0.0
T-012,20,2,2,-1.0000000000000002,-1.0
T-003,40,1,1,-1.0,-1.0
T-003,4,3,1,-2.0,-1.0
T-014,39,2,1,3.0,1.0
T-012,30,2,1,-2.0,-1.0
T-014,29,2,1,-2.0,-1.0
T-017,40,1,4,3.0,2.0
T-016,22,2,4,-1.0,-1.0
T-014,10,3,1,-2.0,-2.0
T-002,31,2,2,1.0,-0.0
T-008,8,3,4,1.0,2.0
T-016,38,2,1,-2.0,-2.0
T-017,10,3,1,2.0,1.0
T-008,0,1,1,1.0,0.0
T-007,46,1,4,0.0,1.0
T-015,27,2,4,2.0,3.0
T-016,5,3,1,-2.0,-0.0
T-003,24,2,3,2.0,3.0
T-003,32,2,2,-2.0,-0.0
T-011,15,3,1,-2.0,-1.0
T-014,31,2,1,2.0,2.0
T-007,15,3,3,0.0,-1.0
T-004,9,3,1,-1.0000000000000002,-1.0
T-016,15,3,3,2.0,2.0
T-004,43,1,4,0.0,-1.0
T-006,37,2,1,-2.0,-1.0
T-003,5,3,1,0.0,0.0
T-001,8,3,2,4.0,2.0
T-002,44,1,1,1.0,0.0
T-002,32,2,3,2.0,2.0
T-017,6,3,1,0.0,-0.0
T-013,45,1,3,2.0,3.0
T-004,22,2,2,-1.0,-1.0
T-016,11,3,4,2.0,2.0
T-006,20,2,2,-2.0,-2.0
T-005,35,2,2,2.0,1.0
T-011,47,1,2,2.0,3.0
T-006,7,3,3,0.0,1.0
T-013,24,2,1,0.0,-0.0
T-016,40,1,2,2.0,2.0
T-013,0,1,3,0.0,-1.0
T-010,21,2,2,-2.0,-1.0
T-010,26,2,1,2.0,1.0
T-009,45,1,4,-2.0,-1.0
T-001,23,2,1,-2.0,-1.0
T-009,19,3,1,1.0,1.0
T-007,20,2,4,0.0,-0.0
T-014,10,3,3,1.0,0.0
T-007,27,2,3,-2.0,-0.0
T-003,31,2,3,5.0,4.0
T-010,8,3,3,-1.0000000000000002,-0.0
T-011,32,2,2,-1.0000000000000002,-0.0
T-003,1,3,3,-2.0,-1.0
T-011,23,2,1,1.0,0.0
T-017,47,1,4,1.0,-0.0
T-002,23,2,2,0.0,0.0
T-010,39,2,1,-2.0,-0.0
T-013,9,3,4,0.0,-0.0
T-011,32,2,3,1.0,0.0
T-002,48,1,4,-2.0,-0.0
T-002,26,2,3,-1.0,-1.0
T-017,45,1,2,0.0,1.0
T-016,21,2,4,-2.0,-1.0
T-017,25,2,3,4.0,2.0
T-015,43,1,1,-2.0,-1.0
T-010,48,1,4,0.0,-0.0
T-015,29,2,4,0.0,0.0
T-005,4,3,2,-2.0,-2.0
T-008,38,2,4,1.0,0.0
T-010,32,2,1,2.0,2.0
T-013,19,3,4,0.0,1.0
T-010,9,3,3,-2.0,-1.0
T-013,6,3,2,-1.0,0.0
T-005,19,3,4,-1.0000000000000002,-0.0
T-013,10,3,1,-2.0,-2.0
T-014,45,1,3,-2.0,-1.0
T-017,23,2,3,-1.0000000000000002,-0.0
T-017,1,3,1,0.0,1.0
T-012,14,3,2,-2.0,-2.0
T-001,40,1,2,0.0,0.0
T-007,38,2,4,-2.0,-1.0
T-017,0,1,3,-1.0,-1.0
T-013,47,1,3,3.0,3.0
T-015,11,3,1,-1.0,-1.0
T-014,35,2,2,1.0,0.0
T-009,48,1,3,-2.0,-1.0
T-015,37,2,3,1.0,-0.0
T-002,40,1,2,5.0,4.0
T-014,31,2,3,2.0,1.0
T-010,41,1,3,4.0,3.0
T-009,5,3,4,1.0,2.0
T-010,27,2,3,1.0,1.0
T-010,49,1,4,0.0,1.0
T-008,25,2,2,1.0,1.0
T-002,40,1,1,3.0,1.0
T-016,4,3,1,-2.0,-1.0
T-004,24,2,3,2.0,3.0
T-002,40,1,3,-2.0,-2.0
T-014,31,2,4,-2.0,-1.0
T-011,46,1,4,-2.0,-1.0
T-003,40,1,4,0.0,-0.0
T-011,33,2,2,2.0,2.0
T-013,13,3,2,3.0,2.0
T-003,17,3,3,2.0,2.0
T-001,3,3,4,-1.0000000000000002,-1.0
T-015,2,3,1,-1.0000000000000002,-1.0
T-011,30,2,1,-2.0,-2.0
T-015,3,3,2,-1.0,-1.0
T-002,33,2,3,1.0,0.0
T-013,11,3,3,0.0,-0.0
T-013,28,2,4,-2.0,-1.0
T-001,48,1,1,3.0,2.0
T-006,6,3,1,-2.0,-1.0
T-009,8,3,1,-2.0,-1.0
T-005,48,1,2,-2.0,-1.0
T-006,28,2,3,-1.0,-0.0
T-003,22,2,2,3.0,3.0
T-002,19,3,4,3.0,3.0
T-010,12,3,3,-1.0000000000000002,-1.0
T-011,11,3,1,-2.0,-0.0
T-006,3,3,4,5.0,4.0
T-005,44,1,4,-1.0,0.0
T-004,38,2,4,0.0,1.0
T-010,39,2,1,4.0,3.0
T-009,10,3,4,2.0,2.0
T-010,28,2,3,-2.0,-1.0
T-001,5,3,3,-1.0000000000000002,-1.0
T-006,36,2,2,2.0,1.0
T-003,22,2,3,3.0,2.0
T-001,0,1,4,-2.0,-2.0
T-014,11,3,2,-2.0,-0.0
T-017,13,3,1,1.0,2.0
T-012,20,2,3,-1.0000000000000002,-0.0
T-003,42,1,3,1.0,1.0
T-013,31,2,3,-1.0,-1.0
T-011,2,3,2,-2.0,-1.0
T-003,48,1,2,-2.0,-1.0
T-015,49,1,2,-2.0,-2.0
T-017,14,3,3,-2.0,-1.0
T-014,42,1,1,-1.0000000000000002,-0.0
T-012,34,2,4,-1.0000000000000002,-0.0
T-003,40,1,3,0.0,-0.0
T-009,38,2,4,-2.0,-2.0
T-012,29,2,1,0.0,0.0
T-004,5,3,2,0.0,0.0
T-014,36,2,4,-2.0,-1.0
T-012,43,1,4,0.0,0.0
T-003,44,1,3,3.0,1.0
T-003,33,2,2,1.0,0.0
T-015,5,3,3,3.0,3.0
T-003,27,2,2,1.0,0.0
T-010,43,1,4,0.0,-0.0
T-001,6,3,3,-2.0,-1.0
T-006,26,2,2,2.0,1.0
T-005,10,3,1,2.0,2.0
T-014,9,3,3,-1.0000000000000002,-0.0
T-014,11,3,2,3.0,2.0
T-003,9,3,1,-1.0000000000000002,-0.0
T-012,34,2,4,0.0,-0.0
T-010,13,3,3,1.0,-0.0
T-003,46,1,3,-2.0,-2.0
T-009,17,3,2,-2.0,-1.0
T-010,31,2,3,-2.0,-2.0
T-011,24,2,3,-2.0,-2.0
T-001,8,3,2,-2.0,-1.0
T-007,4,3,3,0.0,1.0
T-007,31,2,2,-2.0,-1.0
T-016,1,3,4,3.0,3.0
T-010,20,2,2,-1.0,-1.0
T-012,9,3,4,-2.0,-1.0
T-012,47,1,1,-2.0,-1.0
T-006,5,3,3,1.0,0.0
T-016,15,3,1,0.0,-0.0
T-012,47,1,2,2.0,0.0
T-008,24,2,1,0.0,-0.0
T-013,16,3,1,3.0000000000000004,1.0
T-013,35,2,4,-2.0,-0.0
T-010,24,2,3,3.0,2.0
T-011,41,1,1,2.0,2.0
T-002,2,3,1,0.0,-0.0
T-016,41,1,3,0.0,-0.0
T-016,24,2,4,3.0,2.0
T-014,41,1,2,1.0,-0.0
T-017,38,2,1,-2.0,-2.0
T-003,22,2,1,1.0,0.0
T-003,8,3,4,-2.0,-1.0
T-012,16,3,2,0.0,-0.0
T-004,9,3,4,4.0,2.0
T-003,39,2,1,-1.0,-0.0
T-004,11,3,3,0.0,-0.0
T-011,33,2,3,2.0,2.0
T-003,42,1,4,-1.0000000000000002,-1.0
T-016,16,3,3,2.0,2.0
T-005,6,3,2,-1.0000000000000002,-1.0
T-011,1,3,1,1.0,0.0
T-013,48,1,2,1.0,0.0
T-011,18,3,3,3.0,3.0
T-006,34,2,1,-1.0,-1.0
T-004,27,2,3,0.0,-0.0
T-008,43,1,4,-2.0,-1.0
T-005,18,3,1,-1.0000000000000002,-1.0
T-004,5,3,3,-2.0,-0.0
T-006,31,2,3,3.0,2.0
T-003,36,2,4,-2.0,-1.0
T-006,8,3,2,-2.0,-1.0
T-012,32,2,1,-2.0,-1.0
T-007,12,3,2,-1.0000000000000002,-1.0
T-014,34,2,4,-2.0,-0.0
T-002,41,1,1,-2.0,-0.0
T-009,44,1,4,2.0,0.0
T-014,41,1,1,-1.0000000000000002,-1.0
T-004,36,2,3,2.0,1.0
T-002,39,2,2,-2.0,-1.0
T-007,35,2,1,2.0,3.0
T-005,2,3,4,-1.0,0.0
T-010,47,1,2,1.0,0.0
T-014,36,2,1,-1.0,0.0
T-009,1,3,4,1.0,1.0
T-017,21,2,1,0.0,0.0
T-004,45,1,1,-2.0,-1.0
T-012,34,2,2,-2.0,-1.0
T-008,49,1,3,-1.0000000000000002,-1.0
T-003,42,1,2,-2.0,-0.0
T-011,42,1,1,1.0,1.0
T-010,5,3,1,-2.0,-1.0
T-010,10,3,4,3.0,1.0
T-012,22,2,3,2.0,1.0
T-017,47,1,4,-1.0000000000000002,-0.0
T-003,14,3,1,2.0,2.0
T-011,40,1,2,-2.0,-2.0
T-006,37,2,1,2.0,1.0
T-008,24,2,1,3.0,3.0
T-007,13,3,1,-2.0,-1.0
T-016,13,3,2,2.0,3.0
T-016,31,2,1,-1.0,-0.0
T-015,16,3,1,-2.0,-2.0
T-011,2,3,3,-2.0,-1.0
T-010,3,3,4,4.0,3.0
T-011,15,3,4,1.0,0.0
T-015,23,2,1,2.0,3.0
T-006,27,2,2,0.0,0.0
T-013,6,3,2,-2.0,-1.0
T-006,25,2,4,1.0,0.0
T-013,9,3,4,3.0,1.0
T-013,49,1,1,-2.0,-1.0
T-011,15,3,4,3.0,3.0
T-010,46,1,1,0.0,-0.0
T-013,0,1,4,0.0,-1.0
T-012,13,3,1,-2.0,-0.0
T-014,48,1,2,2.0,2.0
T-002,12,3,4,0.0,-0.0
T-007,15,3,2,0.0,0.0
T-012,5,3,3,-2.0,-1.0
T-013,41,1,3,-2.0,-1.0
T-005,12,3,4,2.0,3.0
T-003,17,3,2,-2.0,-1.0
T-014,15,3,2,2.0,0.0
T-001,48,1,2,3.0,2.0
T-010,1,3,1,0.0,0.0
T-001,15,3,1,-2.0,-1.0
T-003,43,1,2,1.0,-0.0
T-001,41,1,3,0.0,1.0
T-006,7,3,4,-1.0000000000000002,-1.0
T-017,21,2,3,-2.0,-1.0
T-015,17,3,1,3.0,1.0
T-010,49,1,2,-1.0,-0.0
T-010,23,2,4,0.0,0.0
T-007,8,3,2,-2.0,-1.0
T-017,43,1,1,-2.0,-1.0
T-008,13,3,2,-2.0,-1.0
T-014,32,2,2,-2.0,-0.0
T-007,14,3,2,1.0,1.0
T-009,24,2,4,3.0,2.0
T-014,40,1,3,-1.0000000000000002,-0.0
T-008,22,2,1,0.0,-0.0
T-016,2,3,1,-2.0,-1.0
T-004,17,3,2,-2.0,-1.0
T-007,14,3,3,-2.0,-1.0
T-003,25,2,2,1.0,0.0
T-001,43,1,2,-2.0,-1.0
T-017,16,3,3,-1.0,-1.0
T-017,8,3,3,-2.0,-1.0
T-017,15,3,3,2.0,0.0
T-015,37,2,2,-1.0000000000000002,-0.0
T-007,22,2,2,-2.0,-1.0
T-013,15,3,1,1.0,1.0
T-002,36,2,1,-1.0000000000000002,-1.0
T-008,49,1,4,2.0,2.0
T-003,23,2,3,0.0,-0.0
