Task ID,Crew ID
TSK0407,CRW0136
TSK0408,CRW0136
TSK0409,CRW0137
TSK0410,CRW0137
TSK0411,CRW0137
TSK0412,CRW0138
TSK0413,CRW0138
TSK0414,CRW0138
TSK0415,CRW0139
TSK0416,CRW0139
TSK0417,CRW0139
TSK0418,CRW0140
TSK0419,CRW0140
TSK0420,CRW0140
TSK0421,CRW0141
TSK0422,CRW0141
TSK0423,CRW0141
TSK0424,CRW0142
TSK0425,CRW0142
TSK0426,CRW0142
TSK0427,CRW0143
TSK0428,CRW0143
TSK0429,CRW0143
TSK0430,CRW0144
TSK0431,CRW0144
TSK0432,CRW0144
TSK0433,CRW0145
TSK0434,CRW0145
TSK0435,CRW0145
TSK0436,CRW0146
TSK0437,CRW0146
TSK0438,CRW0146
TSK0439,CRW0147
TSK0440,CRW0147
TSK0441,CRW0147
TSK0442,CRW0148
TSK0443,CRW0148
TSK0444,CRW0148
TSK0445,CRW0149
TSK0446,CRW0149
TSK0447,CRW0149
TSK0448,CRW0150
TSK0449,CRW0150
TSK0450,CRW0150
TSK0451,CRW0151
TSK0452,CRW0151
TSK0453,CRW0151
TSK0454,CRW0152
TSK0455,CRW0152
TSK0456,CRW0152
TSK0457,CRW0153
TSK0458,CRW0153
TSK0459,CRW0153
TSK0460,CRW0154
TSK0461,CRW0154
TSK0462,CRW0154
TSK0463,CRW0155
TSK0464,CRW0155
TSK0465,CRW0155
TSK0466,CRW0156
TSK0467,CRW0156
TSK0468,CRW0156
TSK0469,CRW0157
TSK0470,CRW0157
TSK0471,CRW0157
TSK0472,CRW0158
TSK0473,CRW0158
TSK0474,CRW0158
TSK0475,CRW0159
TSK0476,CRW0159
TSK0477,CRW0159
TSK0478,CRW0160
TSK0479,CRW0160
TSK0480,CRW0160
TSK0481,CRW0161
TSK0482,CRW0161
TSK0483,CRW0161
TSK0484,CRW0162
TSK0485,CRW0162
TSK0486,CRW0162
TSK0487,CRW0163
TSK0488,CRW0163
TSK0489,CRW0163
TSK0490,CRW0164
TSK0491,CRW0164
TSK0492,CRW0164
TSK0493,CRW0165
TSK0494,CRW0165
TSK0495,CRW0165
TSK0496,CRW0166
TSK0497,CRW0166
TSK0498,CRW0166
TSK0499,CRW0167
TSK0500,CRW0167
TSK0501,CRW0167
TSK0502,CRW0168
TSK0503,CRW0168
TSK0504,CRW0168
TSK0505,CRW0169
TSK0506,CRW0169
TSK0507,CRW0169
TSK0508,CRW0170
TSK0509,CRW0170
TSK0510,CRW0170
TSK0511,CRW0171
TSK0512,CRW0171
TSK0513,CRW0171
TSK0514,CRW0172
TSK0515,CRW0172
TSK0516,CRW0172
TSK0517,CRW0173
TSK0518,CRW0173
TSK0519,CRW0173
TSK0520,CRW0174
TSK0521,CRW0174
TSK0522,CRW0174
TSK0523,CRW0175
TSK0524,CRW0175
TSK0525,CRW0175
TSK0526,CRW0176
TSK0527,CRW0176
TSK0528,CRW0176
TSK0529,CRW0177
TSK0530,CRW0177
TSK0531,CRW0177
TSK0532,CRW0178
TSK0533,CRW0178
TSK0534,CRW0178
TSK0535,CRW0179
TSK0536,CRW0179
TSK0537,CRW0179
TSK0538,CRW0180
TSK0539,CRW0180
TSK0540,CRW0180
TSK0541,CRW0181
TSK0542,CRW0181
TSK0543,CRW0181
TSK0544,CRW0182
TSK0545,CRW0182
TSK0546,CRW0182
TSK0547,CRW0183
TSK0548,CRW0183
TSK0549,CRW0183
TSK0550,CRW0184
TSK0551,CRW0184
TSK0552,CRW0184
TSK0553,CRW0185
TSK0554,CRW0185
TSK0555,CRW0185
TSK0556,CRW0186
TSK0557,CRW0186
TSK0558,CRW0186
TSK0559,CRW0187
TSK0560,CRW0187
TSK0561,CRW0187
TSK0562,CRW0188
TSK0563,CRW0188
TSK0564,CRW0188
TSK0565,CRW0189
TSK0566,CRW0189
TSK0567,CRW0189
TSK0568,CRW0190
TSK0569,CRW0190
TSK0570,CRW0190
TSK0571,CRW0191
TSK0572,CRW0191
TSK0573,CRW0191
TSK0574,CRW0192
TSK0575,CRW0192
TSK0576,CRW0192
TSK0577,CRW0193
TSK0578,CRW0193
TSK0579,CRW0193
TSK0580,CRW0194
TSK0581,CRW0194
TSK0582,CRW0194
TSK0583,CRW0195
TSK0584,CRW0195
TSK0585,CRW0195
TSK0586,CRW0196
TSK0587,CRW0196
TSK0588,CRW0196
TSK0589,CRW0197
TSK0590,CRW0197
TSK0591,CRW0197
TSK0592,CRW0198
TSK0593,CRW0198
TSK0594,CRW0198
TSK0595,CRW0199
TSK0596,CRW0199
TSK0597,CRW0199
TSK0598,CRW0200
TSK0599,CRW0200
TSK0600,CRW0200
TSK0601,CRW0201
TSK0602,CRW0201
TSK0603,CRW0201
TSK0604,CRW0202
TSK0605,CRW0202
TSK0606,CRW0202
TSK0607,CRW0203
TSK0608,CRW0203
TSK0609,CRW0203
TSK0610,CRW0204
TSK0611,CRW0204
TSK0612,CRW0204
TSK0613,CRW0205
TSK0614,CRW0205
TSK0615,CRW0205
TSK0616,CRW0206
TSK0617,CRW0206
TSK0618,CRW0206
TSK0619,CRW0207
TSK0620,CRW0207
TSK0621,CRW0207
TSK0622,CRW0208
TSK0623,CRW0208
TSK0624,CRW0208
TSK0625,CRW0209
TSK0626,CRW0209
TSK0627,CRW0209
TSK0628,CRW0210
TSK0629,CRW0210
TSK0630,CRW0210
TSK0631,CRW0211
TSK0632,CRW0211
TSK0633,CRW0211
TSK0634,CRW0212
TSK0635,CRW0212
TSK0636,CRW0212
TSK0637,CRW0213
TSK0638,CRW0213
TSK0639,CRW0213
TSK0640,CRW0214
TSK0641,CRW0214
TSK0642,CRW0214
TSK0643,CRW0215
TSK0644,CRW0215
TSK0645,CRW0215
TSK0646,CRW0216
TSK0647,CRW0216
TSK0648,CRW0216
TSK0649,CRW0217
TSK0650,CRW0217
TSK0651,CRW0217
TSK0652,CRW0218
TSK0653,CRW0218
TSK0654,CRW0218
TSK0655,CRW0219
TSK0656,CRW0219
TSK0657,CRW0219
TSK0658,CRW0220
TSK0659,CRW0220
TSK0660,CRW0220
TSK0661,CRW0221
TSK0662,CRW0221
TSK0663,CRW0221
TSK0664,CRW0222
TSK0665,CRW0222
TSK0666,CRW0222
TSK0667,CRW0223
TSK0668,CRW0223
TSK0669,CRW0223
TSK0670,CRW0224
TSK0671,CRW0224
TSK0672,CRW0224
TSK0673,CRW0225
TSK0674,CRW0225
TSK0675,CRW0225
TSK0676,CRW0226
TSK0677,CRW0226
TSK0678,CRW0226
TSK0679,CRW0227
TSK0680,CRW0227
TSK0681,CRW0227
TSK0682,CRW0228
TSK0683,CRW0228
TSK0684,CRW0228
TSK0685,CRW0229
TSK0686,CRW0229
TSK0687,CRW0229
TSK0688,CRW0230
TSK0689,CRW0230
TSK0690,CRW0230
TSK0691,CRW0231
TSK0692,CRW0231
TSK0693,CRW0231
TSK0694,CRW0232
TSK0695,CRW0232
TSK0696,CRW0232
TSK0697,CRW0233
TSK0698,CRW0233
TSK0699,CRW0233
TSK0700,CRW0234
TSK0701,CRW0234
TSK0702,CRW0234
TSK0703,CRW0235
TSK0704,CRW0235
TSK0705,CRW0235
TSK0706,CRW0236
TSK0707,CRW0236
TSK0708,CRW0236
TSK0709,CRW0237
TSK0710,CRW0237
TSK0711,CRW0237
TSK0712,CRW0238
TSK0713,CRW0238
TSK0714,CRW0238
TSK0715,CRW0239
TSK0716,CRW0239
TSK0717,CRW0239
TSK0718,CRW0240
TSK0719,CRW0240
TSK0720,CRW0240
TSK0721,CRW0241
TSK0722,CRW0241
TSK0723,CRW0241
TSK0724,CRW0242
TSK0725,CRW0242
TSK0726,CRW0242
TSK0727,CRW0243
TSK0728,CRW0243
TSK0729,CRW0243
TSK0730,CRW0244
TSK0731,CRW0244
TSK0732,CRW0244
TSK0733,CRW0245
TSK0734,CRW0245
TSK0735,CRW0245
TSK0736,CRW0246
TSK0737,CRW0246
TSK0738,CRW0246
TSK0739,CRW0247
TSK0740,CRW0247
TSK0741,CRW0247
TSK0742,CRW0248
TSK0743,CRW0248
TSK0744,CRW0248
TSK0745,CRW0249
TSK0746,CRW0249
TSK0747,CRW0249
TSK0748,CRW0250
TSK0749,CRW0250
TSK0750,CRW0250
TSK0751,CRW0251
TSK0752,CRW0251
TSK0753,CRW0251
TSK0754,CRW0252
TSK0755,CRW0252
TSK0756,CRW0252
TSK0757,CRW0253
TSK0758,CRW0253
TSK0759,CRW0253
TSK0760,CRW0254
TSK0761,CRW0254
TSK0762,CRW0254
TSK0763,CRW0255
TSK0764,CRW0255
TSK0765,CRW0255
TSK0766,CRW0256
TSK0767,CRW0256
TSK0768,CRW0256
TSK0769,CRW0257
TSK0770,CRW0257
TSK0771,CRW0257
TSK0772,CRW0258
TSK0773,CRW0258
TSK0774,CRW0258
TSK0775,CRW0259
TSK0776,CRW0259
TSK0777,CRW0259
TSK0778,CRW0260
TSK0779,CRW0260
TSK0780,CRW0260
TSK0781,CRW0261
TSK0782,CRW0261
TSK0783,CRW0261
TSK0784,CRW0262
TSK0785,CRW0262
TSK0786,CRW0262
TSK0787,CRW0263
TSK0788,CRW0263
TSK0789,CRW0263
TSK0790,CRW0264
TSK0791,CRW0264
TSK0792,CRW0264
TSK0793,CRW0265
TSK0794,CRW0265
TSK0795,CRW0265
TSK0796,CRW0266
TSK0797,CRW0266
TSK0798,CRW0266
TSK0799,CRW0267
TSK0800,CRW0267
TSK0801,CRW0267
TSK0802,CRW0268
TSK0803,CRW0268
TSK0804,CRW0268
TSK0805,CRW0269
TSK0806,CRW0269
TSK0807,CRW0269
TSK0808,CRW0270
TSK0809,CRW0270
TSK0810,CRW0270
TSK0811,CRW0271
TSK0812,CRW0271
TSK0813,CRW0271
TSK0814,CRW0272
TSK0815,CRW0272
TSK0816,CRW0272
TSK0817,CRW0273
TSK0818,CRW0273
TSK0819,CRW0273
TSK0820,CRW0274
TSK0821,CRW0274
TSK0822,CRW0274
TSK0823,CRW0275
TSK0824,CRW0275
TSK0825,CRW0275
TSK0826,CRW0276
TSK0827,CRW0276
TSK0828,CRW0276
TSK0829,CRW0277
TSK0830,CRW0277
TSK0831,CRW0277
TSK0832,CRW0278
TSK0833,CRW0278
TSK0834,CRW0278
TSK0835,CRW0279
TSK0836,CRW0279
TSK0837,CRW0279
TSK0838,CRW0280
TSK0839,CRW0280
TSK0840,CRW0280
TSK0841,CRW0281
TSK0842,CRW0281
TSK0843,CRW0281
TSK0844,CRW0282
TSK0845,CRW0282
TSK0846,CRW0282
TSK0847,CRW0283
TSK0848,CRW0283
TSK0849,CRW0283
TSK0850,CRW0284
TSK0851,CRW0284
TSK0852,CRW0284
TSK0853,CRW0285
TSK0854,CRW0285
TSK0855,CRW0285
TSK0856,CRW0286
TSK0857,CRW0286
TSK0858,CRW0286
TSK0859,CRW0287
TSK0860,CRW0287
TSK0861,CRW0287
TSK0862,CRW0288
TSK0863,CRW0288
TSK0864,CRW0288
TSK0865,CRW0289
TSK0866,CRW0289
TSK0867,CRW0289
TSK0868,CRW0290
TSK0869,CRW0290
TSK0870,CRW0290
TSK0871,CRW0291
TSK0872,CRW0291
TSK0873,CRW0291
TSK0874,CRW0292
TSK0875,CRW0292
TSK0876,CRW0292
TSK0877,CRW0293
TSK0878,CRW0293
TSK0879,CRW0293
TSK0880,CRW0294
TSK0881,CRW0294
TSK0882,CRW0294
TSK0883,CRW0295
TSK0884,CRW0295
TSK0885,CRW0295
TSK0886,CRW0296
TSK0887,CRW0296
TSK0888,CRW0296
TSK0889,CRW0297
TSK0890,CRW0297
TSK0891,CRW0297
TSK0892,CRW0298
TSK0893,CRW0298
TSK0894,CRW0298
TSK0895,CRW0299
TSK0896,CRW0299
TSK0897,CRW0299
TSK0898,CRW0300
TSK0899,CRW0300
TSK0900,CRW0300
TSK0901,CRW0301
TSK0902,CRW0301
TSK0903,CRW0301
TSK0904,CRW0302
TSK0905,CRW0302
TSK0906,CRW0302
TSK0907,CRW0303
TSK0908,CRW0303
TSK0909,CRW0303
TSK0910,CRW0304
TSK0911,CRW0304
TSK0912,CRW0304
TSK0913,CRW0305
TSK0914,CRW0305
TSK0915,CRW0305
TSK0916,CRW0306
TSK0917,CRW0306
TSK0918,CRW0306
TSK0919,CRW0307
TSK0920,CRW0307
TSK0921,CRW0307
TSK0922,CRW0308
TSK0923,CRW0308
TSK0924,CRW0308
TSK0925,CRW0309
TSK0926,CRW0309
TSK0927,CRW0309
TSK0928,CRW0310
TSK0929,CRW0310
TSK0930,CRW0310
TSK0931,CRW0311
TSK0932,CRW0311
TSK0933,CRW0311
TSK0934,CRW0312
TSK0935,CRW0312
TSK0936,CRW0312
TSK0937,CRW0313
TSK0938,CRW0313
TSK0939,CRW0313
TSK0940,CRW0314
TSK0941,CRW0314
TSK0942,CRW0314
TSK0943,CRW0315
TSK0944,CRW0315
TSK0945,CRW0315
TSK0946,CRW0316
TSK0947,CRW0316
TSK0948,CRW0316
TSK0949,CRW0317
TSK0950,CRW0317
TSK0951,CRW0317
TSK0952,CRW0318
TSK0953,CRW0318
TSK0954,CRW0318
TSK0955,CRW0319
TSK0956,CRW0319
TSK0957,CRW0319
TSK0958,CRW0320
TSK0959,CRW0320
TSK0960,CRW0320
TSK0961,CRW0321
TSK0962,CRW0321
TSK0963,CRW0321
TSK0964,CRW0322
TSK0965,CRW0322
TSK0966,CRW0322
TSK0967,CRW0323
TSK0968,CRW0323
TSK0969,CRW0323
TSK0970,CRW0324
TSK0971,CRW0324
TSK0972,CRW0324
TSK0973,CRW0325
TSK0974,CRW0325
TSK0975,CRW0325
TSK0976,CRW0326
TSK0977,CRW0326
TSK0978,CRW0326
TSK0979,CRW0327
TSK0980,CRW0327
TSK0981,CRW0327
TSK0982,CRW0328
TSK0983,CRW0328
TSK0984,CRW0328
TSK0985,CRW0329
TSK0986,CRW0329
TSK0987,CRW0329
TSK0988,CRW0330
TSK0989,CRW0330
TSK0990,CRW0330
TSK0991,CRW0331
TSK0992,CRW0331
TSK0993,CRW0331
TSK0994,CRW0332
TSK0995,CRW0332
TSK0996,CRW0332
TSK0997,CRW0333
TSK0998,CRW0333
TSK0999,CRW0333
TSK1000,CRW0334
