Task_ID,Gate_number,Shift_no,Allocated
T-016,21,3,1.0
T-016,21,2,1.0
T-016,19,4,1.0
T-016,19,1,1.0
T-016,19,2,1.0
T-016,25,1,1.0
T-016,25,2,1.0
T-016,33,2,1.0
T-016,18,2,2.0
T-016,34,3,2.0
T-016,41,2,1.0
T-016,20,3,1.0
T-016,20,2,2.0
T-012,17,3,1.0
T-012,39,2,1.0
T-012,37,4,1.0
T-012,35,3,1.0
T-012,35,4,2.0
T-012,35,1,1.0
T-012,28,3,1.0
T-012,28,4,2.0
T-012,28,1,2.0
T-012,30,2,2.0
T-012,14,4,2.0
T-012,14,2,1.0
T-012,36,1,3.0
T-012,16,3,2.0
T-012,16,2,1.0
T-012,29,3,3.0
T-012,29,1,2.0
T-012,29,2,4.0
T-012,43,1,1.0
T-012,1,4,2.0
T-012,13,3,2.0
T-012,13,2,1.0
T-012,38,4,1.0
T-012,42,4,3.0
T-012,32,1,2.0
T-012,24,3,1.0
T-012,24,4,3.0
T-012,21,4,2.0
T-012,21,1,1.0
T-012,21,2,1.0
T-012,19,2,1.0
T-012,12,2,3.0
T-012,25,4,2.0
T-012,0,1,1.0
T-012,33,3,2.0
T-012,33,1,2.0
T-012,18,4,3.0
T-012,34,4,1.0
T-012,2,3,3.0
T-012,41,1,3.0
T-015,17,4,1.0
T-015,39,1,1.0
T-015,37,3,3.0
T-015,35,1,3.0
T-015,35,2,2.0
T-015,31,3,2.0
T-015,40,4,1.0
T-015,28,3,2.0
T-015,28,1,3.0
T-015,23,2,2.0
T-015,36,3,2.0
T-015,36,1,1.0
T-015,36,2,1.0
T-015,22,3,2.0
T-015,22,4,1.0
T-015,16,3,2.0
T-015,16,1,2.0
T-015,16,2,1.0
T-015,29,1,2.0
T-015,43,4,2.0
T-015,1,4,1.0
T-015,13,4,3.0
T-015,38,4,1.0
T-015,38,2,1.0
T-015,42,3,1.0
T-015,42,2,3.0
T-015,15,3,2.0
T-015,15,4,1.0
T-015,15,1,2.0
T-015,15,2,2.0
T-015,32,4,3.0
T-015,32,1,1.0
T-015,21,4,1.0
T-015,21,1,1.0
T-015,12,2,1.0
T-015,25,3,3.0
T-015,33,3,1.0
T-015,33,1,2.0
T-015,33,2,1.0
T-015,18,1,3.0
T-015,34,1,3.0
T-015,2,3,2.0
T-015,20,3,1.0
T-015,20,2,1.0
T-005,17,2,1.0
T-005,39,1,2.0
T-005,35,3,2.0
T-005,35,2,2.0
T-005,31,3,1.0
T-005,31,2,1.0
T-005,40,1,2.0
T-005,40,2,1.0
T-005,28,3,2.0
T-005,28,1,1.0
T-005,28,2,1.0
T-005,30,4,2.0
T-005,30,1,1.0
T-005,23,2,2.0
T-005,14,2,1.0
T-005,36,4,1.0
T-005,16,1,1.0
T-005,29,3,2.0
T-005,29,1,1.0
T-005,43,1,2.0
T-005,1,4,1.0
T-005,1,1,2.0
T-005,1,2,1.0
T-005,13,3,3.0
T-005,38,3,2.0
T-005,38,1,3.0
T-005,42,4,4.0
T-005,42,2,2.0
T-005,32,3,2.0
T-005,32,4,2.0
T-005,21,1,1.0
T-005,19,3,1.0
T-005,12,3,1.0
T-005,12,2,2.0
T-005,0,3,2.0
T-005,0,4,1.0
T-005,33,3,1.0
T-005,33,4,1.0
T-005,18,3,1.0
T-005,18,2,1.0
T-005,2,4,1.0
T-005,2,1,3.0
T-005,2,2,1.0
T-005,41,3,1.0
T-005,20,3,2.0
T-005,20,4,4.0
T-005,20,1,1.0
T-005,20,2,3.0
T-007,37,2,1.0
T-007,31,2,1.0
T-007,40,3,1.0
T-007,40,4,2.0
T-007,28,1,1.0
T-007,28,2,1.0
T-007,23,1,1.0
T-007,23,2,2.0
T-007,14,3,1.0
T-007,14,1,3.0
T-007,36,3,2.0
T-007,36,2,1.0
T-007,16,1,2.0
T-007,29,3,1.0
T-007,29,4,3.0
T-007,29,2,1.0
T-007,43,3,2.0
T-007,13,3,2.0
T-007,13,4,1.0
T-007,13,2,1.0
T-007,42,3,2.0
T-007,42,4,2.0
T-007,42,1,1.0
T-007,15,2,2.0
T-007,32,2,2.0
T-007,24,3,3.0
T-007,24,4,1.0
T-007,24,1,1.0
T-007,21,4,4.0
T-007,19,3,1.0
T-007,19,4,1.0
T-007,12,3,2.0
T-007,12,4,3.0
T-007,12,1,1.0
T-007,25,3,2.0
T-007,25,4,2.0
T-007,0,3,1.0
T-007,0,2,1.0
T-007,33,1,1.0
T-007,41,2,1.0
T-009,17,3,2.0
T-009,39,4,2.0
T-009,39,2,2.0
T-009,37,4,1.0
T-009,37,2,2.0
T-009,31,1,3.0
T-009,31,2,3.0
T-009,40,3,1.0
T-009,40,4,2.0
T-009,28,3,2.0
T-009,28,2,1.0
T-009,30,1,2.0
T-009,23,2,1.0
T-009,14,4,1.0
T-009,14,1,1.0
T-009,14,2,1.0
T-009,36,4,1.0
T-009,36,2,1.0
T-009,16,3,2.0
T-009,16,4,1.0
T-009,43,1,2.0
T-009,43,2,2.0
T-009,1,4,1.0
T-009,13,4,3.0
T-009,42,1,1.0
T-009,15,4,2.0
T-009,15,1,2.0
T-009,32,3,1.0
T-009,32,2,1.0
T-009,24,4,2.0
T-009,21,3,3.0
T-009,19,3,2.0
T-009,19,4,2.0
T-009,12,4,3.0
T-009,0,3,1.0
T-009,33,3,3.0
T-009,33,2,3.0
T-009,34,4,1.0
T-009,34,1,2.0
T-009,41,1,1.0
T-009,20,2,1.0
T-003,17,1,2.0
T-003,39,4,1.0
T-003,37,2,1.0
T-003,35,1,3.0
T-003,31,4,4.0
T-003,40,1,2.0
T-003,40,2,2.0
T-003,30,2,1.0
T-003,23,2,1.0
T-003,14,1,1.0
T-003,22,1,1.0
T-003,16,2,2.0
T-003,29,3,1.0
T-003,43,3,1.0
T-003,43,1,2.0
T-003,1,1,3.0
T-003,13,4,1.0
T-003,38,1,1.0
T-003,42,4,1.0
T-003,15,2,1.0
T-003,32,2,2.0
T-003,24,4,1.0
T-003,24,1,1.0
T-003,21,1,1.0
T-003,21,2,1.0
T-003,12,3,1.0
T-003,12,1,3.0
T-003,25,1,3.0
T-003,25,2,2.0
T-003,0,3,3.0
T-003,33,2,1.0
T-003,18,4,4.0
T-003,34,3,3.0
T-003,2,4,1.0
T-003,2,2,2.0
T-003,20,4,2.0
T-014,17,3,3.0
T-014,39,3,2.0
T-014,35,3,1.0
T-014,35,4,1.0
T-014,35,1,2.0
T-014,31,3,2.0
T-014,31,4,1.0
T-014,31,2,1.0
T-014,28,2,1.0
T-014,30,2,1.0
T-014,14,4,1.0
T-014,36,3,1.0
T-014,22,2,3.0
T-014,29,2,2.0
T-014,43,1,2.0
T-014,43,2,1.0
T-014,1,3,1.0
T-014,13,1,2.0
T-014,38,1,2.0
T-014,38,2,2.0
T-014,42,4,3.0
T-014,42,2,2.0
T-014,32,4,1.0
T-014,32,2,1.0
T-014,24,4,1.0
T-014,24,2,1.0
T-014,21,3,3.0
T-014,19,3,1.0
T-014,25,4,2.0
T-014,25,1,3.0
T-014,33,4,3.0
T-014,18,4,2.0
T-014,18,1,3.0
T-014,2,4,1.0
T-014,2,1,1.0
T-014,41,3,1.0
T-014,41,4,3.0
T-014,20,3,1.0
T-013,17,4,1.0
T-013,39,1,3.0
T-013,37,4,1.0
T-013,35,4,1.0
T-013,31,1,3.0
T-013,28,2,2.0
T-013,14,4,2.0
T-013,14,1,1.0
T-013,36,3,1.0
T-013,36,4,1.0
T-013,36,1,2.0
T-013,22,4,2.0
T-013,16,3,2.0
T-013,16,1,1.0
T-013,16,2,4.0
T-013,29,1,1.0
T-013,43,1,2.0
T-013,13,3,2.0
T-013,38,3,2.0
T-013,42,1,2.0
T-013,15,4,2.0
T-013,32,4,1.0
T-013,24,3,2.0
T-013,24,4,2.0
T-013,24,2,2.0
T-013,21,3,1.0
T-013,21,4,3.0
T-013,21,2,4.0
T-013,19,1,3.0
T-013,25,2,3.0
T-013,0,1,1.0
T-013,0,2,3.0
T-013,33,3,1.0
T-013,18,4,1.0
T-013,18,1,3.0
T-013,34,3,1.0
T-013,34,4,2.0
T-013,34,1,2.0
T-013,2,1,2.0
T-013,41,3,2.0
T-013,41,4,2.0
T-013,20,3,1.0
